instance family
mcs30_b03m_s35_AB05 0 4925
mcs30_b03m_s35_AB06 0 1474
mcs30_b03m_s35_AB07 0 1319
mcs30_b03m_s35_AB08 0 1614
mcs30_b03m_s35_AB09 0 3081
mcs30_b03m_s40_AB00 0 3949
mcs30_b03m_s40_AB01 0 26273
mcs30_b03m_s40_AB02 0 15196
mcs30_b03m_s40_AB03 0 6232
mcs30_b03m_s40_AB04 0 15013
mcs30_b03m_s40_AB05 0 20129
mcs30_b03m_s40_AB06 0 13650
mcs30_b03m_s40_AB07 0 24772
mcs30_b03m_s40_AB08 0 12518
mcs30_b03m_s40_AB09 0 15652
mcs30_b03m_s50_AB00 0 546339
mcs30_b03m_s50_AB01 0 1000009
mcs30_b03m_s50_AB02 0 811499
mcs30_b03m_s50_AB03 0 1000008
mcs30_b03m_s50_AB04 0 1000005
mcs30_b03m_s50_AB05 0 422967
mcs30_b03m_s50_AB06 0 703206
mcs30_b03m_s50_AB07 0 1000005
mcs30_b03m_s50_AB08 0 1000006
mcs30_b03m_s50_AB09 0 819244
mcs30_b06_s25_AB00 0 153
mcs30_b06_s25_AB01 0 139
mcs30_b06_s25_AB02 0 120
mcs30_b06_s25_AB03 0 169
mcs30_b06_s25_AB04 0 263
mcs30_b06_s25_AB05 0 173
mcs30_b06_s25_AB06 0 251
mcs30_b06_s25_AB07 0 150
mcs30_b06_s25_AB08 0 375
mcs30_b06_s25_AB09 0 52
mcs30_b06_s30_AB00 0 3326
mcs30_b06_s30_AB01 0 2388
mcs30_b06_s30_AB02 0 2307
mcs30_b06_s30_AB03 0 1209
mcs30_b06_s30_AB04 0 2384
mcs30_b06_s30_AB05 0 4519
mcs30_b06_s30_AB06 0 1004
mcs30_b06_s30_AB07 0 2150
mcs30_b06_s30_AB08 0 3158
mcs30_b06_s30_AB09 0 621
mcs30_b06_s35_AB00 0 56008
mcs30_b06_s35_AB01 0 55594
mcs30_b06_s35_AB02 0 27586
mcs30_b06_s35_AB03 0 77022
mcs30_b06_s35_AB04 0 49718
mcs30_b06_s35_AB05 0 29389
mcs30_b06_s35_AB06 0 36413
mcs30_b06_s35_AB07 0 26210
mcs30_b06_s35_AB08 0 13703
mcs30_b06_s35_AB09 0 38589
mcs30_b06_s40_AB00 0 168071
mcs30_b06_s40_AB01 0 1000012
mcs30_b06_s40_AB02 0 175465
mcs30_b06_s40_AB03 0 236583
mcs30_b06_s40_AB04 0 306946
mcs30_b06_s40_AB05 0 651847
