instance family
si4_r005_m200.08 7 1000026
si4_r005_m200.02 7 1000009
si4_r005_m200.05 7 1000013
si4_r005_m200.06 7 1000001
si4_r005_m200.04 7 1000022
si4_r005_m200.07 7 1000020
si4_r005_m200.09 7 1000012
si4_r005_m200.01 7 1000003
si4_r005_m200.03 7 1000018
si6_b09m_m400.03 4 39
si6_b09m_m400.07 4 1000017
si6_b09m_m400.00 4 1000011
si6_b09m_m400.04 4 28
si6_b09m_m400.06 4 31
si6_b09m_m400.08 4 1000015
si6_b09m_m400.02 4 1000007
si6_b09m_m400.05 4 1000005
si6_b09m_m400.09 4 1000010
si6_b09m_m400.01 4 1000018
si2_b09_m200.08 3 4
si2_b09_m200.01 3 5
si2_b09_m200.06 3 5
si2_b09_m200.05 3 5
si2_b09_m200.00 3 4
si2_b09_m200.02 3 4
si2_b09_m200.03 3 4
si2_b09_m200.04 3 5
si2_b09_m200.09 3 5
si2_b09_m200.07 3 4
si6_r01_m600.02 7 1000019
si6_r01_m600.06 7 1000027
si6_r01_m600.09 7 1000022
si6_r01_m600.08 7 1000036
si6_r01_m600.05 7 1000022
si6_r01_m600.07 7 1000009
si6_r01_m600.03 7 1000029
si6_r01_m600.00 7 1000028
si6_r01_m600.01 7 1000028
si6_r01_m600.04 7 1000007
si2_b06_m200.02 3 5
si2_b06_m200.00 3 4
si2_b06_m200.01 3 5
si2_b06_m200.06 3 3
si2_b06_m200.09 3 5
si2_b06_m200.07 3 5
si2_b06_m200.04 3 5
si2_b06_m200.08 3 5
si2_b06_m200.03 3 4
si2_b06_m200.05 3 4
si6_m4Dr2_m1296.05 6 1000077
si6_m4Dr2_m1296.09 6 1000018
si6_m4Dr2_m1296.01 6 1000045
si6_m4Dr2_m1296.06 6 1000027
si6_m4Dr2_m1296.07 6 1000061
si6_m4Dr2_m1296.03 6 1000025
si6_m4Dr2_m1296.04 6 1000029
si6_m4Dr2_m1296.00 6 1000033
si6_m4Dr2_m1296.08 6 108
si6_m4Dr2_m1296.02 6 108
si2_b09m_m800.09 4 1000023
si2_b09m_m800.07 4 1000035
si2_b09m_m800.00 4 1000042
si2_b09m_m800.04 4 1000054
si2_b09m_m800.02 4 1000013
si2_b09m_m800.05 4 1000009
si2_b09m_m800.03 4 1000044
si2_b09m_m800.08 4 1000025
si2_b09m_m800.06 4 1000033
si2_b09m_m800.01 4 1000011
si4_b03_m400.01 3 20
si4_b03_m400.02 3 20
si4_b03_m400.05 3 19
si4_b03_m400.07 3 19
si4_b03_m400.06 3 19
si4_b03_m400.00 3 19
si4_b03_m400.03 3 18
si4_b03_m400.04 3 19
si4_b03_m400.09 3 29
si4_b03_m400.08 3 19
si2_b03_m200.05 3 4
si2_b03_m200.09 3 5
si2_b03_m200.07 3 4
si2_b03_m200.01 3 5
si2_b03_m200.08 3 5
si2_b03_m200.02 3 5
si2_b03_m200.04 3 5
si2_b03_m200.03 3 4
si2_b03_m200.06 3 4
si2_b03_m200.00 3 3
si4_r005_m600.00 7 1000008
si4_r005_m600.02 7 1000031
si4_r005_m600.08 7 1000010
si4_r005_m600.05 7 1000012
si4_r005_m600.07 7 1000017
si4_r005_m600.06 7 1000048
si4_r005_m600.01 7 1000009
si4_r005_m600.04 7 1000023
si4_r005_m600.03 7 1000020
si4_r005_m600.09 7 1000027
si4_b09_m400.05 3 19
si4_b09_m400.03 3 20
si4_b09_m400.00 3 20
si4_b09_m400.07 3 21
si4_b09_m400.01 3 20
si4_b09_m400.06 3 19
si4_b09_m400.04 3 18
si4_b09_m400.02 3 20
si4_b09_m400.08 3 20
si4_b09_m400.09 3 21
si4_b06m_m400.06 4 1000014
si4_b06m_m400.03 4 1000046
si4_b06m_m400.01 4 1000039
si4_b06m_m400.08 4 1000023
si4_b06m_m400.05 4 1000010
si4_b06m_m400.07 4 1000023
si4_b06m_m400.00 4 1000031
si4_b06m_m400.04 4 1000011
si4_b06m_m400.09 4 1000015
si4_b06m_m400.02 4 20
si2_m4Dr2_m625.05 6 1000056
si2_m4Dr2_m625.00 6 1000038
si2_m4Dr2_m625.08 6 1000033
si2_m4Dr2_m625.09 6 1000012
si2_m4Dr2_m625.06 6 1000015
si2_m4Dr2_m625.04 6 1000041
si2_m4Dr2_m625.01 6 1000026
si2_m4Dr2_m625.03 6 1000023
si2_m4Dr2_m625.02 6 1000014
si2_m4Dr2_m625.07 6 1000019
si2_r005_m200.02 7 1000024
si2_r005_m200.01 7 1000039
si2_r005_m200.03 7 1000010
si2_r005_m200.05 7 1000043
si2_r005_m200.08 7 1000024
si2_r005_m200.04 7 1000017
si2_r005_m200.09 7 1000041
si2_r005_m200.06 7 1000025
si2_r005_m200.00 7 1000036
si2_r005_m200.07 7 1000025
si4_b03m_m400.03 4 1000018
si4_b03m_m400.09 4 1000021
si4_b03m_m400.08 4 1000006
si4_b03m_m400.04 4 1000034
si4_b03m_m400.00 4 1000015
si4_b03m_m400.01 4 1000011
si4_b03m_m400.07 4 1000041
si4_b03m_m400.02 4 1000011
si4_b03m_m400.06 4 1000049
si4_b03m_m400.05 4 1000008
si2_r01_m600.01 7 1000036
si2_r01_m600.06 7 1000018
si2_r01_m600.09 7 1000020
si2_r01_m600.08 7 1000025
si2_r01_m600.04 7 1000033
si2_r01_m600.02 7 1000032
si2_r01_m600.00 7 1000019
si2_r01_m600.07 7 1000041
si2_r01_m600.03 7 1000039
si2_r01_m600.05 7 1000026
si4_m4Dr6_m256.01 6 1000013
si4_m4Dr6_m256.00 6 1000009
si4_m4Dr6_m256.05 6 1000013
si4_m4Dr6_m256.08 6 1000010
si4_m4Dr6_m256.03 6 1000003
si4_m4Dr6_m256.06 6 1000010
si4_m4Dr6_m256.09 6 1000006
si4_m4Dr6_m256.07 6 1000008
si4_m4Dr6_m256.02 6 1000007
si4_m4Dr6_m256.04 6 1000015
si2_b03m_m400.02 4 1000028
si2_b03m_m400.00 4 1000010
si2_b03m_m400.01 4 1000022
si2_b03m_m400.05 4 1000004
si2_b03m_m400.08 4 21
si2_b03m_m400.07 4 35
