instance family
si6_b06m_m400.00 4 145
si6_b06m_m400.08 4 150
si6_b06m_m400.03 4 141
si6_b06m_m400.04 4 143
si6_b06m_m400.06 4 140
si6_b06m_m400.07 4 139
si6_b06m_m400.09 4 143
si6_b06m_m400.02 4 137
si6_b06m_m400.01 4 233
si6_b06m_m400.05 4 142
si2_m4Dr4_m1296.08 6 1385
si2_m4Dr4_m1296.07 6 1396
si2_m4Dr4_m1296.03 6 1402
si2_m4Dr4_m1296.05 6 1323
si2_m4Dr4_m1296.06 6 1303
si2_m4Dr4_m1296.04 6 1424
si2_m4Dr4_m1296.09 6 1352
si2_m4Dr4_m1296.01 6 1350
si2_m4Dr4_m1296.00 6 1290
si2_m4Dr4_m1296.02 6 1402
si6_m4Dr6_m1296.02 6 2741
si6_m4Dr6_m1296.08 6 2781
si6_m4Dr6_m1296.07 6 2692
si6_m4Dr6_m1296.06 6 2689
si6_m4Dr6_m1296.03 6 2968
si6_m4Dr6_m1296.04 6 3087
si6_m4Dr6_m1296.05 6 2757
si6_m4Dr6_m1296.00 6 2710
si6_m4Dr6_m1296.09 6 2628
si6_m4Dr6_m1296.01 6 2775
si4_m4Dr2_m256.00 6 42
si4_m4Dr2_m256.01 6 41
si4_m4Dr2_m256.05 6 40
si4_m4Dr2_m256.04 6 40
si4_m4Dr2_m256.08 6 72
si4_m4Dr2_m256.07 6 42
si4_m4Dr2_m256.06 6 41
si4_m4Dr2_m256.02 6 58
si4_m4Dr2_m256.09 6 40
si4_m4Dr2_m256.03 6 43
si4_b09m_m200.01 4 31
si4_b09m_m200.00 4 32
si4_b09m_m200.03 4 40
si4_b09m_m200.06 4 51
si4_b09m_m200.02 4 32
si4_b09m_m200.04 4 31
si4_b09m_m200.05 4 31
si4_b09m_m200.07 4 32
si4_b09m_m200.08 4 31
si4_b09m_m200.09 4 33
si4_m4Dr4_m625.07 6 311
si4_m4Dr4_m625.05 6 307
si4_m4Dr4_m625.01 6 310
si4_m4Dr4_m625.08 6 317
si4_m4Dr4_m625.09 6 308
si4_m4Dr4_m625.00 6 339
si4_m4Dr4_m625.04 6 306
si4_m4Dr4_m625.06 6 311
si4_m4Dr4_m625.03 6 334
si4_m4Dr4_m625.02 6 327
si4_m4Dr4_m1296.03 6 1978
si4_m4Dr4_m1296.01 6 2059
si4_m4Dr4_m1296.00 6 2475
si4_m4Dr4_m1296.07 6 1902
si4_m4Dr4_m1296.02 6 1962
si4_m4Dr4_m1296.04 6 1979
si4_m4Dr4_m1296.09 6 2156
si4_m4Dr4_m1296.06 6 1995
si4_m4Dr4_m1296.08 6 1945
si4_m4Dr4_m1296.05 6 2008
si2_r005_m400.05 7 5145
si2_r005_m400.06 7 1718
si2_r005_m400.08 7 5244
si2_r005_m400.02 7 411505
si2_r005_m400.03 7 9511
si2_r005_m400.00 7 4743
si2_r005_m400.07 7 30890
si2_r005_m400.09 7 6505
si2_r005_m400.04 7 13528
si2_r005_m400.01 7 4342
si2_b06m_m400.03 4 83
si2_b06m_m400.06 4 84
si2_b06m_m400.05 4 82
si2_b06m_m400.01 4 139
si2_b06m_m400.00 4 81
si2_b06m_m400.08 4 82
si2_b06m_m400.07 4 82
si2_b06m_m400.09 4 82
si2_b06m_m400.04 4 84
si2_b06m_m400.02 4 83
si6_r005_m600.02 7 63411
si6_r005_m600.08 7 41927
si6_r005_m600.03 7 87777
si6_r005_m600.05 7 105122
si6_r005_m600.07 7 56994
si6_r005_m600.04 7 70326
si6_r005_m600.06 7 118288
si6_r005_m600.01 7 17306
si6_r005_m600.09 7 148580
si6_r005_m600.00 7 31776
si6_r005_m200.02 7 99
