instance family
si4_r005_m200.07 7 1000009
si4_r005_m200.09 7 1000009
si4_r005_m200.01 7 1000009
si4_r005_m200.03 7 1000010
si6_b09m_m400.03 4 100000000
si6_b09m_m400.07 4 100000000
si6_b09m_m400.00 4 100000000
si6_b09m_m400.04 4 100000000
si6_b09m_m400.06 4 100000000
si6_b09m_m400.08 4 100000000
si6_b09m_m400.02 4 100000000
si6_b09m_m400.05 4 100000000
si6_b09m_m400.09 4 100000000
si6_b09m_m400.01 4 100000000
si2_b09_m200.08 3 95506
si2_b09_m200.01 3 85996
si2_b09_m200.06 3 90246
si2_b09_m200.05 3 87209
si2_b09_m200.00 3 83578
si2_b09_m200.02 3 133448
si2_b09_m200.03 3 82590
si2_b09_m200.04 3 84481
si2_b09_m200.09 3 175996
si2_b09_m200.07 3 111842
si6_r01_m600.02 7 100000000
si6_r01_m600.06 7 100000000
si6_r01_m600.09 7 100000000
si6_r01_m600.08 7 100000000
si6_r01_m600.05 7 100000000
si6_r01_m600.07 7 100000000
si6_r01_m600.03 7 100000000
si6_r01_m600.00 7 100000000
si6_r01_m600.01 7 100000000
si6_r01_m600.04 7 100000000
si2_b06_m200.02 3 105148
si2_b06_m200.00 3 108703
si2_b06_m200.01 3 183070
si2_b06_m200.06 3 114808
si2_b06_m200.09 3 149661
si2_b06_m200.07 3 193403
si2_b06_m200.04 3 118311
si2_b06_m200.08 3 157241
si2_b06_m200.03 3 113665
si2_b06_m200.05 3 147673
si6_m4Dr2_m1296.05 6 100000000
si6_m4Dr2_m1296.09 6 100000000
si6_m4Dr2_m1296.01 6 100000000
si6_m4Dr2_m1296.06 6 100000000
si6_m4Dr2_m1296.07 6 100000000
si6_m4Dr2_m1296.03 6 100000000
si6_m4Dr2_m1296.04 6 100000000
si6_m4Dr2_m1296.00 6 100000000
si6_m4Dr2_m1296.08 6 100000000
si6_m4Dr2_m1296.02 6 100000000
si2_b09m_m800.09 4 100000000
si2_b09m_m800.07 4 100000000
si2_b09m_m800.00 4 100000000
si2_b09m_m800.04 4 100000000
si2_b09m_m800.02 4 100000000
si2_b09m_m800.05 4 100000000
si2_b09m_m800.03 4 100000000
si2_b09m_m800.08 4 100000000
si2_b09m_m800.06 4 100000000
si2_b09m_m800.01 4 100000000
si4_b03_m400.01 3 100000000
si4_b03_m400.02 3 100000000
si4_b03_m400.05 3 100000000
si4_b03_m400.07 3 100000000
si4_b03_m400.06 3 100000000
si4_b03_m400.00 3 100000000
si4_b03_m400.03 3 100000000
si4_b03_m400.04 3 100000000
si4_b03_m400.09 3 100000000
si4_b03_m400.08 3 100000000
si2_b03_m200.05 3 1000003
si2_b03_m200.09 3 1000004
si2_b03_m200.07 3 1000004
si2_b03_m200.01 3 1000004
si2_b03_m200.08 3 25870
si2_b03_m200.02 3 1000004
si2_b03_m200.04 3 1000003
si2_b03_m200.03 3 1000004
si2_b03_m200.06 3 840013
si2_b03_m200.00 3 137188
si4_r005_m600.00 7 100000000
si4_r005_m600.02 7 100000000
si4_r005_m600.08 7 100000000
si4_r005_m600.05 7 100000000
si4_r005_m600.07 7 100000000
si4_r005_m600.06 7 100000000
si4_r005_m600.01 7 100000000
si4_r005_m600.04 7 100000000
si4_r005_m600.03 7 100000000
si4_r005_m600.09 7 100000000
si4_b09_m400.05 3 100000000
si4_b09_m400.03 3 100000000
si4_b09_m400.00 3 100000000
si4_b09_m400.07 3 100000000
si4_b09_m400.01 3 100000000
si4_b09_m400.06 3 100000000
si4_b09_m400.04 3 100000000
si4_b09_m400.02 3 100000000
si4_b09_m400.08 3 100000000
si4_b09_m400.09 3 100000000
si4_b06m_m400.06 4 100000000
si4_b06m_m400.03 4 100000000
si4_b06m_m400.01 4 100000000
si4_b06m_m400.08 4 100000000
si4_b06m_m400.05 4 100000000
si4_b06m_m400.07 4 100000000
si4_b06m_m400.00 4 100000000
si4_b06m_m400.04 4 100000000
si4_b06m_m400.09 4 100000000
si4_b06m_m400.02 4 100000000
si2_m4Dr2_m625.05 6 100000000
si2_m4Dr2_m625.00 6 100000000
si2_m4Dr2_m625.08 6 100000000
si2_m4Dr2_m625.09 6 100000000
si2_m4Dr2_m625.06 6 100000000
si2_m4Dr2_m625.04 6 100000000
si2_m4Dr2_m625.01 6 100000000
si2_m4Dr2_m625.03 6 100000000
si2_m4Dr2_m625.02 6 100000000
si2_m4Dr2_m625.07 6 100000000
si2_r005_m200.02 7 1000003
si2_r005_m200.01 7 1000003
si2_r005_m200.03 7 1000003
si2_r005_m200.05 7 1000003
si2_r005_m200.08 7 1000003
si2_r005_m200.04 7 1000003
si2_r005_m200.09 7 1000003
si2_r005_m200.06 7 1000003
si2_r005_m200.00 7 1000003
si2_r005_m200.07 7 1000003
si4_b03m_m400.03 4 100000000
si4_b03m_m400.09 4 100000000
si4_b03m_m400.08 4 100000000
si4_b03m_m400.04 4 100000000
si4_b03m_m400.00 4 100000000
si4_b03m_m400.01 4 100000000
si4_b03m_m400.07 4 100000000
si4_b03m_m400.02 4 100000000
si4_b03m_m400.06 4 100000000
si4_b03m_m400.05 4 100000000
si2_r01_m600.01 7 100000000
si2_r01_m600.06 7 100000000
si2_r01_m600.09 7 100000000
si2_r01_m600.08 7 100000000
si2_r01_m600.04 7 100000000
si2_r01_m600.02 7 100000000
si2_r01_m600.00 7 100000000
si2_r01_m600.07 7 100000000
si2_r01_m600.03 7 100000000
si2_r01_m600.05 7 100000000
si4_m4Dr6_m256.01 6 100000000
si4_m4Dr6_m256.00 6 100000000
si4_m4Dr6_m256.05 6 100000000
si4_m4Dr6_m256.08 6 100000000
si4_m4Dr6_m256.03 6 100000000
si4_m4Dr6_m256.06 6 100000000
si4_m4Dr6_m256.09 6 100000000
si4_m4Dr6_m256.07 6 100000000
si4_m4Dr6_m256.02 6 100000000
si4_m4Dr6_m256.04 6 100000000
si2_b03m_m400.02 4 100000000
si2_b03m_m400.00 4 100000000
si2_b03m_m400.01 4 100000000
si2_b03m_m400.05 4 100000000
si2_b03m_m400.08 4 100000000
si2_b03m_m400.07 4 100000000
si2_b03m_m400.09 4 100000000
si2_b03m_m400.03 4 100000000
si2_b03m_m400.04 4 100000000
si2_b03m_m400.06 4 100000000
si2_b03m_m200.05 4 1000004
si2_b03m_m200.03 4 1000003
si2_b03m_m200.00 4 1000003
si2_b03m_m200.08 4 1000003
si2_b03m_m200.06 4 1000003
si2_b03m_m200.02 4 1000003
si2_b03m_m200.09 4 1000003
si2_b03m_m200.04 4 1000004
si2_b03m_m200.01 4 1000003
si2_b03m_m200.07 4 1000003
si4_r001_m200.04 7 1000013
si4_r001_m200.07 7 1000013
si4_r001_m200.00 7 1000012
si4_r001_m200.01 7 1000012
si4_r001_m200.03 7 1000012
si4_r001_m200.06 7 1000012
si4_r001_m200.05 7 1000012
si4_r001_m200.08 7 1000013
si4_r001_m200.09 7 1000013
si4_r001_m200.02 7 1000012
si2_m4D_m256.08 5 1000008
si2_m4D_m256.03 5 1000009
si2_m4D_m256.02 5 1000008
si2_m4D_m256.06 5 1000008
si2_m4D_m256.04 5 1000009
si2_m4D_m256.07 5 1000008
si2_m4D_m256.01 5 1000010
si2_m4D_m256.09 5 1000010
si2_m4D_m256.00 5 1000008
si2_m4D_m256.05 5 1000009
si6_r01_m400.04 7 100000000
si6_r01_m400.08 7 100000000
si6_r01_m400.07 7 100000000
si6_r01_m400.06 7 100000000
si6_r01_m400.05 7 100000000
si6_r01_m400.02 7 100000000
si6_r01_m400.00 7 100000000
si6_r01_m400.03 7 100000000
si6_r01_m400.01 7 100000000
si6_r01_m400.09 7 100000000
si2_m4Dr4_m625.07 6 100000000
si2_m4Dr4_m625.02 6 100000000
si2_m4Dr4_m625.03 6 100000000
si2_m4Dr4_m625.00 6 100000000
si2_m4Dr4_m625.05 6 100000000
si2_m4Dr4_m625.06 6 100000000
si2_m4Dr4_m625.09 6 100000000
si2_m4Dr4_m625.01 6 100000000
si2_m4Dr4_m625.08 6 100000000
si2_m4Dr4_m625.04 6 100000000
si4_r01_m400.01 7 100000000
si4_r01_m400.08 7 100000000
si4_r01_m400.02 7 100000000
si4_r01_m400.03 7 100000000
si4_r01_m400.07 7 100000000
si4_r01_m400.06 7 100000000
si4_r01_m400.04 7 100000000
si4_r01_m400.00 7 100000000
si4_r01_m400.05 7 100000000
si4_r01_m400.09 7 100000000
si2_b09m_m400.09 4 100000000
si2_b09m_m400.03 4 100000000
si2_b09m_m400.01 4 100000000
si2_b09m_m400.08 4 100000000
si2_b09m_m400.05 4 100000000
si2_b09m_m400.06 4 100000000
si2_b09m_m400.00 4 100000000
si2_b09m_m400.02 4 100000000
si2_b09m_m400.04 4 100000000
si2_b09m_m400.07 4 100000000
si2_b09_m800.07 3 100000000
si2_b09_m800.04 3 100000000
si2_b09_m800.05 3 100000000
si2_b09_m800.00 3 100000000
si2_b09_m800.02 3 100000000
si2_b09_m800.01 3 100000000
si2_b09_m800.08 3 100000000
si2_b09_m800.09 3 100000000
si2_b09_m800.03 3 100000000
si2_b09_m800.06 3 100000000
si6_b03_m400.04 3 100000000
si6_b03_m400.09 3 100000000
si6_b03_m400.02 3 100000000
si6_b03_m400.06 3 100000000
si6_b03_m400.05 3 100000000
si6_b03_m400.08 3 100000000
si6_b03_m400.01 3 100000000
si6_b03_m400.07 3 100000000
si6_b03_m400.03 3 100000000
si6_b03_m400.00 3 100000000
si2_r005_m600.03 7 100000000
si2_r005_m600.00 7 100000000
si2_r005_m600.06 7 100000000
si2_r005_m600.01 7 100000000
si2_r005_m600.04 7 100000000
si2_r005_m600.09 7 100000000
si2_r005_m600.05 7 100000000
si2_r005_m600.02 7 100000000
si2_r005_m600.08 7 100000000
si2_r005_m600.07 7 100000000
si4_r01_m600.05 7 100000000
si4_r01_m600.02 7 100000000
si4_r01_m600.03 7 100000000
si4_r01_m600.07 7 100000000
si4_r01_m600.08 7 100000000
si4_r01_m600.06 7 100000000
si4_r01_m600.01 7 100000000
si4_r01_m600.04 7 100000000
si4_r01_m600.00 7 100000000
si4_r01_m600.09 7 100000000
si2_b09_m400.04 3 100000000
si2_b09_m400.08 3 100000000
si2_b09_m400.05 3 100000000
si2_b09_m400.01 3 100000000
si2_b09_m400.03 3 100000000
si2_b09_m400.02 3 100000000
si2_b09_m400.07 3 100000000
si2_b09_m400.09 3 100000000
si2_b09_m400.06 3 100000000
si2_b09_m400.00 3 100000000
si4_b06_m200.06 3 1000017
si4_b06_m200.03 3 1000014
si4_b06_m200.02 3 1000014
si4_b06_m200.07 3 1000014
si4_b06_m200.05 3 1000018
si4_b06_m200.08 3 1000014
si4_b06_m200.00 3 1000014
si4_b06_m200.04 3 1000015
si4_b06_m200.01 3 1000014
si4_b06_m200.09 3 1000014
si4_r005_m400.06 7 100000000
si4_r005_m400.03 7 100000000
si4_r005_m400.07 7 100000000
si4_r005_m400.01 7 100000000
si4_r005_m400.04 7 100000000
si4_r005_m400.00 7 100000000
si4_r005_m400.09 7 100000000
si4_r005_m400.05 7 100000000
si4_r005_m400.08 7 100000000
si4_r005_m400.02 7 100000000
si4_m4Dr2_m1296.07 6 100000000
si4_m4Dr2_m1296.00 6 100000000
si4_m4Dr2_m1296.05 6 100000000
si4_m4Dr2_m1296.04 6 100000000
si4_m4Dr2_m1296.08 6 100000000
si4_m4Dr2_m1296.01 6 100000000
si4_m4Dr2_m1296.06 6 100000000
si4_m4Dr2_m1296.02 6 100000000
si4_m4Dr2_m1296.03 6 100000000
si4_m4Dr2_m1296.09 6 100000000
si6_b09_m800.03 3 100000000
si6_b09_m800.09 3 100000000
si6_b09_m800.07 3 100000000
si6_b09_m800.05 3 100000000
si6_b09_m800.04 3 100000000
si6_b09_m800.01 3 100000000
si6_b09_m800.00 3 100000000
si6_b09_m800.02 3 100000000
si6_b09_m800.06 3 100000000
si6_b09_m800.08 3 100000000
si6_b06m_m400.00 4 100000000
si6_b06m_m400.08 4 100000000
si6_b06m_m400.03 4 100000000
si6_b06m_m400.04 4 100000000
si6_b06m_m400.06 4 100000000
si6_b06m_m400.07 4 100000000
si6_b06m_m400.09 4 100000000
si6_b06m_m400.02 4 100000000
si6_b06m_m400.01 4 100000000
si6_b06m_m400.05 4 100000000
si2_m4Dr4_m1296.08 6 100000000
si2_m4Dr4_m1296.07 6 100000000
si2_m4Dr4_m1296.03 6 100000000
si2_m4Dr4_m1296.05 6 100000000
si2_m4Dr4_m1296.06 6 100000000
si2_m4Dr4_m1296.04 6 100000000
si2_m4Dr4_m1296.09 6 100000000
si2_m4Dr4_m1296.01 6 100000000
si2_m4Dr4_m1296.00 6 100000000
si2_m4Dr4_m1296.02 6 100000000
si6_m4Dr6_m1296.02 6 100000000
si6_m4Dr6_m1296.08 6 100000000
si6_m4Dr6_m1296.07 6 100000000
si6_m4Dr6_m1296.06 6 100000000
si6_m4Dr6_m1296.03 6 100000000
si6_m4Dr6_m1296.04 6 100000000
si6_m4Dr6_m1296.05 6 100000000
si6_m4Dr6_m1296.00 6 100000000
si6_m4Dr6_m1296.09 6 100000000
si6_m4Dr6_m1296.01 6 100000000
si4_m4Dr2_m256.00 6 100000000
si4_m4Dr2_m256.01 6 100000000
si4_m4Dr2_m256.05 6 100000000
si4_m4Dr2_m256.04 6 100000000
si4_m4Dr2_m256.08 6 100000000
si4_m4Dr2_m256.07 6 100000000
si4_m4Dr2_m256.06 6 100000000
si4_m4Dr2_m256.02 6 100000000
si4_m4Dr2_m256.09 6 100000000
si4_m4Dr2_m256.03 6 100000000
si4_b09m_m200.01 4 1000010
si4_b09m_m200.00 4 1000010
si4_b09m_m200.03 4 1000011
si4_b09m_m200.06 4 1000011
si4_b09m_m200.02 4 1000010
si4_b09m_m200.04 4 1000010
si4_b09m_m200.05 4 1000010
si4_b09m_m200.07 4 1000010
si4_b09m_m200.08 4 1000011
si4_b09m_m200.09 4 1000010
si4_m4Dr4_m625.07 6 100000000
si4_m4Dr4_m625.05 6 100000000
si4_m4Dr4_m625.01 6 100000000
si4_m4Dr4_m625.08 6 100000000
si4_m4Dr4_m625.09 6 100000000
si4_m4Dr4_m625.00 6 100000000
si4_m4Dr4_m625.04 6 100000000
si4_m4Dr4_m625.06 6 100000000
si4_m4Dr4_m625.03 6 100000000
si4_m4Dr4_m625.02 6 100000000
si4_m4Dr4_m1296.03 6 100000000
si4_m4Dr4_m1296.01 6 100000000
si4_m4Dr4_m1296.00 6 100000000
si4_m4Dr4_m1296.07 6 100000000
si4_m4Dr4_m1296.02 6 100000000
si4_m4Dr4_m1296.04 6 100000000
si4_m4Dr4_m1296.09 6 100000000
si4_m4Dr4_m1296.06 6 100000000
si4_m4Dr4_m1296.08 6 100000000
si4_m4Dr4_m1296.05 6 100000000
si2_r005_m400.05 7 100000000
si2_r005_m400.06 7 100000000
si2_r005_m400.08 7 100000000
si2_r005_m400.02 7 100000000
si2_r005_m400.03 7 100000000
si2_r005_m400.00 7 100000000
si2_r005_m400.07 7 100000000
si2_r005_m400.09 7 100000000
si2_r005_m400.04 7 100000000
si2_r005_m400.01 7 100000000
si2_b06m_m400.03 4 100000000
si2_b06m_m400.06 4 100000000
si2_b06m_m400.05 4 100000000
si2_b06m_m400.01 4 100000000
si2_b06m_m400.00 4 100000000
si2_b06m_m400.08 4 100000000
si2_b06m_m400.07 4 100000000
si2_b06m_m400.09 4 100000000
si2_b06m_m400.04 4 100000000
si2_b06m_m400.02 4 100000000
si6_r005_m600.02 7 100000000
si6_r005_m600.08 7 100000000
