instance family mcis-fc-induced
si6_b09m_m400.06 4 355.405151
si6_b09m_m400.08 4 238.197479
si6_b09m_m400.02 4 221.040451
si6_b09m_m400.05 4 1000.000305
si6_b09m_m400.09 4 337.479065
si6_b09m_m400.01 4 351.236877
si2_b09_m200.08 3 1.351823
si2_b09_m200.01 3 60.792328
si2_b09_m200.06 3 0.924990
si2_b09_m200.05 3 0.961393
si2_b09_m200.00 3 0.910642
si2_b09_m200.02 3 1.047955
si2_b09_m200.03 3 0.920901
si2_b09_m200.04 3 1.078012
si2_b09_m200.09 3 0.954117
si2_b09_m200.07 3 1.080528
si6_r01_m600.02 7 1e8
si6_r01_m600.06 7 1e8
si6_r01_m600.09 7 1e8
si6_r01_m600.08 7 1e8
si6_r01_m600.05 7 1e8
si6_r01_m600.07 7 1e8
si6_r01_m600.03 7 1e8
si6_r01_m600.00 7 1e8
si6_r01_m600.01 7 1e8
si6_r01_m600.04 7 1e8
si2_b06_m200.02 3 0.994635
si2_b06_m200.00 3 0.964497
si2_b06_m200.01 3 0.969965
si2_b06_m200.06 3 0.997015
si2_b06_m200.09 3 0.996633
si2_b06_m200.07 3 0.972721
si2_b06_m200.04 3 0.977493
si2_b06_m200.08 3 1.023669
si2_b06_m200.03 3 1.040880
si2_b06_m200.05 3 0.971424
si6_m4Dr2_m1296.05 6 1e8
si6_m4Dr2_m1296.09 6 1e8
si6_m4Dr2_m1296.01 6 1e8
si6_m4Dr2_m1296.06 6 1e8
si6_m4Dr2_m1296.07 6 1e8
si6_m4Dr2_m1296.03 6 1e8
si6_m4Dr2_m1296.04 6 1e8
si6_m4Dr2_m1296.00 6 1e8
si6_m4Dr2_m1296.08 6 1e8
si6_m4Dr2_m1296.02 6 1e8
si2_b09m_m800.09 4 1000.000061
si2_b09m_m800.07 4 1000.000122
si2_b09m_m800.00 4 1000.000061
si2_b09m_m800.04 4 1000.000061
si2_b09m_m800.02 4 1000.000061
si2_b09m_m800.05 4 1000.000366
si2_b09m_m800.03 4 1000.000122
si2_b09m_m800.08 4 1000.000061
si2_b09m_m800.06 4 1000.000000
si2_b09m_m800.01 4 1000.000061
si4_b03_m400.01 3 94.652443
si4_b03_m400.02 3 127.344490
si4_b03_m400.05 3 117.092201
si4_b03_m400.07 3 133.046921
si4_b03_m400.06 3 156.666489
si4_b03_m400.00 3 123.768837
si4_b03_m400.03 3 128.791138
si4_b03_m400.04 3 147.312851
si4_b03_m400.09 3 164.275681
si4_b03_m400.08 3 170.893097
si2_b03_m200.05 3 1.023133
si2_b03_m200.09 3 1.010762
si2_b03_m200.07 3 0.999641
si2_b03_m200.01 3 1.120332
si2_b03_m200.08 3 1.553875
si2_b03_m200.02 3 0.986590
si2_b03_m200.04 3 1.016141
si2_b03_m200.03 3 1.119808
si2_b03_m200.06 3 1.052298
si2_b03_m200.00 3 1.223637
si4_r005_m600.00 7 1e8
si4_r005_m600.02 7 1e8
si4_r005_m600.08 7 1e8
si4_r005_m600.05 7 1e8
si4_r005_m600.07 7 1e8
si4_r005_m600.06 7 1e8
si4_r005_m600.01 7 1e8
si4_r005_m600.04 7 1e8
si4_r005_m600.03 7 1e8
si4_r005_m600.09 7 1e8
si4_b09_m400.05 3 376.539581
si4_b09_m400.03 3 517.137634
si4_b09_m400.00 3 162.459793
si4_b09_m400.07 3 253.312698
si4_b09_m400.01 3 1000.000549
si4_b09_m400.06 3 1000.000366
si4_b09_m400.04 3 127.476761
si4_b09_m400.02 3 1000.000427
si4_b09_m400.08 3 316.501434
si4_b09_m400.09 3 105.179352
si4_b06m_m400.06 4 1000.000000
si4_b06m_m400.03 4 1000.000061
si4_b06m_m400.01 4 1000.000305
si4_b06m_m400.08 4 1000.000183
si4_b06m_m400.05 4 1000.000000
si4_b06m_m400.07 4 1000.000244
si4_b06m_m400.00 4 1000.000244
si4_b06m_m400.04 4 118.911339
si4_b06m_m400.09 4 1000.000061
si4_b06m_m400.02 4 89.517754
si2_m4Dr2_m625.05 6 1000.000183
si2_m4Dr2_m625.00 6 1000.000366
si2_m4Dr2_m625.08 6 1000.000122
si2_m4Dr2_m625.09 6 179.234131
si2_m4Dr2_m625.06 6 1000.000305
si2_m4Dr2_m625.04 6 1000.000427
si2_m4Dr2_m625.01 6 1000.000061
