instance clique cp-fc cp-mac james-cpp-product james-cpp-product-down james-cpp-max james-cpp-max-down clique-par/t16 clique-par/t32
mcs10_b03m_s80_AB07 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000001 792354
mcs10_b03m_s80_AB08 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000001 1000003
mcs10_b03m_s80_AB09 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000001 1000003
mcs10_b03m_s90_AB00 1000000 1000.000061 1000.000061 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b03m_s90_AB01 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b03m_s90_AB02 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b03m_s90_AB03 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b03m_s90_AB04 1000000 1000.000061 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b03m_s90_AB05 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b03m_s90_AB06 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000001 1000003
mcs10_b03m_s90_AB07 1000000 1000.000061 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b03m_s90_AB08 1000000 1000.000000 1000.000061 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b03m_s90_AB09 1000000 1000.000061 1000.000000 1000000 1000000 1000000 1000000 1000002 1000002
mcs10_b06_s100_AB00 275282 1000.000000 1000.000000 1000000 1000000 1000000 1000000 20685 15911
mcs10_b06_s100_AB01 282618 1000.000000 1000.000061 1000000 1000000 1000000 1000000 17986 13395
mcs10_b06_s100_AB02 9319 1000.000000 1000.000000 1000000 1000000 1000000 1000000 654 494
mcs10_b06_s100_AB03 775727 1000.000000 1000.000000 1000000 1000000 1000000 1000000 50453 43677
mcs10_b06_s100_AB04 5111 1000.000000 1000.000000 1000000 1000000 1000000 1000000 475 373
mcs10_b06_s100_AB05 410545 1000.000000 1000.000000 1000000 1000000 1000000 1000000 34080 29974
mcs10_b06_s100_AB06 8952 1000.000000 1000.000000 1000000 1000000 1000000 1000000 967 945
mcs10_b06_s100_AB07 348466 1000.000000 1000.000000 1000000 1000000 1000000 1000000 19421 13027
mcs10_b06_s100_AB08 404716 1000.000000 1000.000000 1000000 1000000 1000000 1000000 27167 19615
mcs10_b06_s100_AB09 8719 1000.000000 1000.000000 1000000 1000000 1000000 1000000 870 525
mcs10_b06_s70_AB00 3262 1000.000000 1000.000000 1000000 1000000 680584 1000000 313 283
mcs10_b06_s70_AB01 2345 1000.000000 1000.000000 81587 101293 59023 96450 183 151
mcs10_b06_s70_AB02 11776 1000.000000 1000.000000 765395 1000000 1000000 1000000 976 648
mcs10_b06_s70_AB03 1437 1000.000000 1000.000000 98258 175345 60618 100657 134 123
mcs10_b06_s70_AB04 3470 1000.000000 1000.000000 359387 608551 197047 325756 285 195
mcs10_b06_s70_AB05 5306 1000.000000 1000.000000 267968 373993 191814 273892 485 446
mcs10_b06_s70_AB06 18943 1000.000000 1000.000000 557543 852662 236007 368101 1378 1067
mcs10_b06_s70_AB07 3900 1000.000000 1000.000000 138313 218620 90649 147158 307 239
mcs10_b06_s70_AB08 30565 1000.000000 1000.000000 325788 519844 264194 427626 4172 2396
mcs10_b06_s70_AB09 14951 1000.000000 1000.000000 383324 517042 261262 420817 1086 795
mcs10_b06_s80_AB00 571256 1000.000000 1000.000000 1000000 1000000 1000000 1000000 31855 22495
mcs10_b06_s80_AB01 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 58257 41472
mcs10_b06_s80_AB02 227842 1000.000000 1000.000000 1000000 1000000 174266 245673 12443 12707
mcs10_b06_s80_AB03 862649 1000.000000 1000.000000 1000000 1000000 680016 1000000 66532 53461
mcs10_b06_s80_AB04 717467 1000.000000 1000.000061 1000000 1000000 1000000 1000000 43558 40217
mcs10_b06_s80_AB05 351163 1000.000000 1000.000000 1000000 1000000 1000000 1000000 22083 16194
mcs10_b06_s80_AB06 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 72404 56745
mcs10_b06_s80_AB07 1000000 1000.000000 1000.000061 1000000 1000000 1000000 1000000 244389 173810
mcs10_b06_s80_AB08 175710 1000.000000 1000.000000 1000000 1000000 617042 912421 14408 12434
mcs10_b06_s80_AB09 141851 1000.000000 1000.000000 1000000 1000000 1000000 1000000 10034 8589
mcs10_b06_s90_AB00 447124 1000.000000 1000.000000 1000000 1000000 1000000 1000000 30920 22266
mcs10_b06_s90_AB01 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b06_s90_AB02 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000021
mcs10_b06_s90_AB03 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b06_s90_AB04 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 929903 684719
mcs10_b06_s90_AB05 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000005
mcs10_b06_s90_AB06 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b06_s90_AB07 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000002
mcs10_b06_s90_AB08 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000001 1000003
mcs10_b06_s90_AB09 1000000 1000.000000 1000.000061 1000000 1000000 1000000 1000000 1000001 1000020
mcs10_b06m_s100_AB00 8932 1000.000000 1000.000000 742478 1000000 463522 787515 1040 692
mcs10_b06m_s100_AB01 468767 1000.000000 1000.000000 1000000 1000000 1000000 1000000 28110 20196
mcs10_b06m_s100_AB02 18767 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1602 1377
mcs10_b06m_s100_AB03 78940 1000.000000 1000.000000 1000000 1000000 1000000 1000000 4413 3043
mcs10_b06m_s100_AB04 68831 1000.000000 1000.000000 1000000 1000000 1000000 1000000 6237 7187
mcs10_b06m_s100_AB05 225170 1000.000000 1000.000000 1000000 1000000 1000000 1000000 13774 9748
mcs10_b06m_s100_AB06 730972 1000.000000 1000.000000 1000000 1000000 1000000 1000000 29609 22446
mcs10_b06m_s100_AB07 99118 1000.000000 1000.000000 1000000 1000000 1000000 1000000 5095 4348
mcs10_b06m_s100_AB08 655689 1000.000000 1000.000000 1000000 1000000 1000000 1000000 38748 29717
mcs10_b06m_s100_AB09 97874 1000.000000 1000.000000 1000000 1000000 1000000 1000000 12338 6904
