instance clique cp-fc cp-mac james-cpp-product james-cpp-product-down james-cpp-max james-cpp-max-down clique-par/t16 clique-par/t32
mcs10_b06m_s90_AB01 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s90_AB02 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s90_AB03 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s90_AB04 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s90_AB05 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s90_AB06 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s90_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s90_AB08 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b06m_s90_AB09 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_b09_s100_AB00 6601146 NaN NaN NaN NaN NaN NaN 6789181 7151581
mcs10_b09_s100_AB01 2551443 NaN NaN NaN NaN 1373236422 NaN 2570142 2583006
mcs10_b09_s100_AB02 13173162 NaN NaN NaN NaN 1890216690 NaN 9861187 9847376
mcs10_b09_s100_AB03 45953924 NaN NaN NaN NaN 1591253740 NaN 49013219 50539512
mcs10_b09_s100_AB04 5693414 NaN NaN 1725246092 NaN 687857346 1260721959 6030990 6317155
mcs10_b09_s100_AB05 15107044 NaN NaN NaN NaN 1642753611 NaN 15218395 15423754
mcs10_b09_s100_AB06 2123623 NaN NaN 413023501 747526975 144166884 263813279 2143041 2150734
mcs10_b09_s100_AB07 12502894 NaN NaN 1169285427 1620420595 736802644 1031707602 13178012 14139870
mcs10_b09_s100_AB08 33396270 NaN NaN 2420430325 NaN 955000645 1790069627 33093007 36149643
mcs10_b09_s100_AB09 6371687 NaN NaN 2528082969 NaN 1214463337 NaN 6009649 6014074
mcs10_b09m_s100_AB00 5476092 NaN NaN NaN NaN 1210559421 NaN 7306909 8760796
mcs10_b09m_s100_AB01 82825122 NaN NaN NaN NaN NaN NaN 71294097 74204790
mcs10_b09m_s100_AB02 18712432 NaN NaN NaN NaN NaN NaN 18904016 19168259
mcs10_b09m_s100_AB03 5402666 NaN NaN NaN NaN 1259510629 NaN 6047095 6509007
mcs10_b09m_s100_AB04 4271990 NaN NaN 2537916323 NaN 870784423 1537354407 4456161 4648322
mcs10_b09m_s100_AB05 1924858 NaN NaN 1897652686 NaN 688839044 1345281526 1511216 1345512
mcs10_b09m_s100_AB06 34940671 NaN NaN NaN NaN NaN NaN 41378313 57245346
mcs10_b09m_s100_AB07 13971129 NaN NaN NaN NaN 1573391713 NaN 13982535 14001645
mcs10_b09m_s100_AB08 8796343 NaN NaN NaN NaN 796678677 1483413024 8607435 8650943
mcs10_b09m_s100_AB09 32208290 NaN NaN NaN NaN 1718393986 NaN 32700186 32783841
mcs10_m2D_s100_AB00 NaN NaN NaN NaN NaN NaN NaN 2219765141 1692933403
mcs10_m2D_s100_AB01 NaN NaN NaN NaN NaN NaN NaN 512372197 748726073
mcs10_m2D_s100_AB02 NaN NaN NaN NaN NaN NaN NaN 1507261673 1151085826
mcs10_m2D_s100_AB03 346612356 NaN NaN NaN NaN NaN NaN 137862309 83970614
mcs10_m2D_s100_AB04 NaN NaN NaN NaN NaN NaN NaN 2399687466 3811909251
mcs10_m2D_s100_AB05 365381130 NaN NaN NaN NaN NaN NaN 334020596 337909582
mcs10_m2D_s100_AB06 NaN NaN NaN NaN NaN NaN NaN 9807037271 10148208202
mcs10_m2D_s100_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_m2D_s100_AB08 NaN NaN NaN NaN NaN NaN NaN 2081570771 2043234287
mcs10_m2D_s100_AB09 NaN NaN NaN NaN NaN NaN NaN 7977767923 7306221896
mcs10_m2D_s40_AB00 4379306 9929930.000000 6500693.000000 11163959 15713613 9593674 13069621 4094254 4082636
mcs10_m2D_s40_AB01 1710525 9335242.000000 3735030.000000 3698553 4182538 2551495 2705417 685486 738876
mcs10_m2D_s40_AB02 8560 1075046.000000 744692.000000 2603928 2902972 1041097 1052785 9562 7962
mcs10_m2D_s40_AB03 177006 5253075.000000 2197601.000000 3760755 4131419 3425930 1814407 183148 179087
mcs10_m2D_s40_AB04 122230 22754634.000000 11249618.000000 14235694 19962064 8986540 12954446 67808 72238
mcs10_m2D_s40_AB05 239787 7332726.000000 4098543.000000 9360921 11578362 5366192 6907391 245043 241478
mcs10_m2D_s40_AB06 2462290 6787494.000000 4148145.000000 2312667 2924269 1496525 1893155 2225051 2210673
mcs10_m2D_s40_AB07 684960 18959924.000000 7314901.000000 7839959 7297058 6196619 7017092 300755 304177
mcs10_m2D_s40_AB08 130971 268843.000000 146217.000000 554112 711630 237355 283874 77137 65219
mcs10_m2D_s40_AB09 20512 6611187.000000 1920297.000000 10705707 7284461 6694714 4158492 21965 21121
mcs10_m2D_s50_AB00 NaN NaN NaN 915850183 502710832 503519130 588679283 1180607197 354511783
mcs10_m2D_s50_AB01 NaN NaN NaN 2545764970 3235958842 2171279688 2715353867 1342742021 1346940110
mcs10_m2D_s50_AB02 91653698 NaN NaN 2302411776 2136312560 803188642 640920227 45640966 46161033
mcs10_m2D_s50_AB03 541625922 NaN NaN 453425713 485281468 438540765 467147550 535144344 535198900
mcs10_m2D_s50_AB04 4164284 NaN NaN 287022264 361725491 119779993 45505977 1152643 1041923
mcs10_m2D_s50_AB05 NaN NaN NaN 1162419522 1287931506 772279093 906143454 2927241210 2516407882
mcs10_m2D_s50_AB06 30905324 NaN NaN 2568371215 1354556663 933839482 981003494 4594862 4686162
mcs10_m2D_s50_AB07 64122727 NaN NaN NaN NaN 1827702283 2089219169 65348240 66274509
mcs10_m2D_s50_AB08 62220667 NaN NaN 781343065 840752381 416599206 472756735 53323986 54677298
mcs10_m2D_s50_AB09 NaN NaN NaN 522110512 652840456 866016140 1067700119 1767955085 1728410472
mcs10_m2D_s60_AB00 1015998 41243053.000000 22777328.000000 13132805 15236720 9384945 8434910 755071 707499
mcs10_m2D_s60_AB01 66772468 NaN NaN 594932590 627054121 150462990 192253746 65284884 65311090
mcs10_m2D_s60_AB02 10908919 80473797.000000 56551878.000000 194834212 207580571 116969961 127382739 11508908 11856892
mcs10_m2D_s60_AB03 29040998 NaN NaN NaN NaN 3989333170 NaN 27829964 27853966
mcs10_m2D_s60_AB04 2478469 NaN NaN 298439502 319321184 130695368 135929900 2070636 2482056
mcs10_m2D_s60_AB05 4634430 NaN NaN 536875796 399259788 287779020 210981315 2826522 4449682
mcs10_m2D_s60_AB06 6753695 226746133.000000 150294605.000000 337552991 416100228 86111410 111810444 6187935 6228789
mcs10_m2D_s60_AB07 1094276808 NaN 168042507.000000 190965248 188919188 173340531 163209358 301122072 293402764
mcs10_m2D_s60_AB08 25644847 NaN NaN 89372131 73439490 46046157 37927747 10098983 4251077
mcs10_m2D_s60_AB09 10566850 215558655.000000 108554108.000000 178064907 205601080 129605167 162057856 8440607 8641861
mcs10_m2D_s70_AB00 773595471 NaN NaN NaN NaN 2123774597 2616598629 470412899 648838651
mcs10_m2D_s70_AB01 373543948 NaN NaN NaN NaN NaN NaN 175492502 203809138
mcs10_m2D_s70_AB02 445656015 NaN NaN NaN NaN NaN NaN 254318221 256324129
