instance clique cp-fc cp-mac kdown james-cpp-product james-cpp-product-down james-cpp-max james-cpp-max-down clique-par/t16 clique-par/t32 james-cpp-max-par/t16 james-cpp-max-par/t32 kdown-par/t32
mcs10_m2Dr6_s40_AB07 NaN NaN NaN 33024954 900132070 1061416098 809684739 945731949 NaN NaN 224391044 219002673 213809345
mcs10_m2Dr6_s40_AB08 NaN NaN NaN 36907339 NaN NaN NaN NaN NaN NaN NaN 2482198482 266020477
mcs10_m2Dr6_s40_AB09 NaN NaN NaN 36524538 994996973 1273333015 889514211 1137178171 NaN NaN 332986357 308284306 194161584
mcs10_m2Dr6_s50_AB00 NaN NaN NaN 25749723 NaN NaN NaN NaN NaN NaN NaN NaN 140938065
mcs10_m2Dr6_s50_AB01 NaN NaN NaN 28904329 NaN NaN NaN NaN NaN NaN NaN NaN 114817997
mcs10_m2Dr6_s50_AB02 NaN NaN NaN 21298595 NaN NaN NaN NaN NaN NaN NaN NaN 203201695
mcs10_m2Dr6_s50_AB03 NaN NaN NaN 22460886 NaN NaN NaN NaN NaN NaN NaN NaN 195150708
mcs10_m2Dr6_s50_AB04 NaN NaN NaN 16814442 NaN NaN NaN NaN NaN NaN NaN NaN 187743312
mcs10_m2Dr6_s50_AB05 NaN NaN NaN 23569142 NaN NaN NaN NaN NaN NaN NaN NaN 122632821
mcs10_m2Dr6_s50_AB06 NaN NaN NaN 18473020 NaN NaN NaN NaN NaN NaN NaN NaN 175495204
mcs10_m2Dr6_s50_AB07 NaN NaN NaN 19982535 NaN NaN NaN NaN NaN NaN NaN NaN 216114930
mcs10_m2Dr6_s50_AB08 NaN NaN NaN 25221752 NaN NaN NaN NaN NaN NaN NaN NaN 112101296
mcs10_m2Dr6_s50_AB09 NaN NaN NaN 24367939 NaN NaN NaN NaN NaN NaN NaN NaN 174671235
mcs10_r005_s20_AB00 28455 66012.000000 11390.000000 5459 3103 3553 2806 3209 11379 9530 3375 3508 5546
mcs10_r005_s20_AB01 51841 11856.000000 3591.000000 46929 13596 9145 13633 8947 47584 35616 8426 8488 13298
mcs10_r005_s20_AB02 11526 32466.000000 7929.000000 10565 8838 9349 11359 12668 47499 26758 3896 6551 6507
mcs10_r005_s20_AB03 285309 41304.000000 20415.000000 1975 10937 11333 10022 10336 58780 57596 8048 10222 2094
mcs10_r005_s20_AB04 17066 35701.000000 12227.000000 7814 9984 4805 9862 4764 14551 16681 4976 8712 4164
mcs10_r005_s20_AB05 32405 186334.000000 37875.000000 145083 103304 73461 103133 73358 28565 26446 32207 29817 135968
mcs10_r005_s20_AB06 75057 25304.000000 7324.000000 3756 2227 2011 2231 2027 9924 9080 2158 2193 6628
mcs10_r005_s20_AB07 168855 28926.000000 14983.000000 26005 11145 10845 10463 10126 29070 28018 11997 11109 7045
mcs10_r005_s20_AB08 29923 261842.000000 102824.000000 41162 58532 60938 56642 58874 28939 30766 16892 22283 22037
mcs10_r005_s20_AB09 47792 103397.000000 49368.000000 24801 53689 56553 54923 57237 51852 48755 15388 24818 12750
mcs10_r005_s25_AB00 453135 41146566.000000 7813040.000000 2200016 922120 991851 898223 964749 324410 327334 361514 328191 1259282
mcs10_r005_s25_AB01 634458 116762.000000 42491.000000 164714 199189 35212 175037 31895 350516 259604 17063 29076 293926
mcs10_r005_s25_AB02 504361 59630.000000 27128.000000 26921 104221 14123 101846 13664 474690 475054 7138 8764 28668
mcs10_r005_s25_AB03 2156877 407320.000000 156217.000000 116987 177769 197699 195640 187477 2243591 1569125 56304 56497 296250
mcs10_r005_s25_AB04 10479250 361801.000000 186583.000000 54816 96845 109170 93065 104540 10137299 10158044 41709 37113 74608
mcs10_r005_s25_AB05 578644 196097.000000 91857.000000 70142 15426 16085 14453 15025 286172 283177 8171 7368 89786
mcs10_r005_s25_AB06 7595847 381829.000000 196909.000000 46266 106985 83765 100804 78127 5306310 5039610 36699 50534 101334
mcs10_r005_s25_AB07 125999 344166.000000 245526.000000 20897 305615 325612 300078 316240 112545 101485 163008 170943 29342
mcs10_r005_s25_AB08 1729498 397453.000000 193332.000000 1946892 130617 123588 120235 112693 1072934 980627 29050 38034 301795
mcs10_r005_s25_AB09 2706541 911134.000000 279850.000000 563740 443354 139948 419292 137068 1617940 1691713 32133 34140 284466
mcs10_r005_s30_AB00 26735253 5186274.000000 1393260.000000 742620 1275371 1389582 1245109 1357333 22274355 29456850 217048 195979 1001682
mcs10_r005_s30_AB01 215458225 2803928.000000 1240917.000000 1372144 2464792 2563604 2404403 2500680 209545569 199356192 585905 355947 1284027
mcs10_r005_s30_AB02 20559848 7655488.000000 3439271.000000 4288581 4085468 4766291 3725549 4332033 21301087 22584423 1018383 664332 4731433
mcs10_r005_s30_AB03 57241454 4791099.000000 2402367.000000 971129 2662971 2939460 2500774 2742159 51864776 45304193 1442698 993298 1346660
mcs10_r005_s30_AB04 NaN 8227567.000000 3936050.000000 1514743 2610240 2979960 2511332 2858945 569509441 582239304 567140 450325 2605379
mcs10_r005_s30_AB05 NaN 8088765.000000 4102937.000000 966220 1890298 2119237 1749106 1940100 329939508 336712654 496482 318097 1135616
mcs10_r005_s30_AB06 299881863 8622117.000000 4997404.000000 6780288 10124894 11313201 9739023 10871667 301903667 302657443 3138847 2710174 4983345
mcs10_r005_s30_AB07 54853882 74034780.000000 NaN 9355301 3348352 2512876 2940906 2170956 55333051 55146493 338725 259822 9386623
mcs10_r005_s30_AB08 56228532 5272799.000000 1998463.000000 2296090 169592 153071 156063 139085 48653283 49872331 28960 38764 2578087
mcs10_r005_s30_AB09 16132474 23187262.000000 9374709.000000 37645911 1480679 1594121 1404172 1504987 10126326 7514812 225235 225256 7687233
mcs10_r005_s35_AB00 NaN NaN NaN 25956188 39825171 46714707 36809875 43083958 1601337893 1596624320 13407622 7758217 50408279
mcs10_r005_s35_AB01 NaN 82769439.000000 NaN 37955696 25522418 30102484 23958940 28126004 1853889806 1855573271 7043162 6036315 198562169
mcs10_r005_s35_AB02 NaN NaN NaN 42738305 44142549 51995576 42038038 49476669 NaN NaN 8824925 7145702 43718920
mcs10_r005_s35_AB03 NaN NaN NaN 45072803 113632214 136649217 105373591 126468868 NaN NaN 26000570 21980728 113230391
