instance clique cp-fc cp-mac kdown james-cpp-product james-cpp-product-down james-cpp-max james-cpp-max-down clique-par/t16 clique-par/t32 james-cpp-max-par/t16 james-cpp-max-par/t32 kdown-par/t32
mcs10_r005_s50_AB01 1000000 1000.000000 1000.000183 1000000 1000000 1000000 1000000 1000000 1000004 1000006 1000000 1000001 1000013
mcs10_r005_s50_AB02 1000001 1000.000000 1000.000488 1000000 1000000 1000000 1000000 1000000 1000004 1000006 1000001 1000001 1000010
mcs10_r005_s50_AB03 1000000 1000.000000 1000.000061 1000000 1000000 1000000 1000000 1000000 1000005 1000006 1000000 1000001 1000010
mcs10_r005_s50_AB04 1000001 1000.000000 1000.000061 1000000 1000000 1000000 1000000 1000000 1000005 1000006 1000000 1000001 1000002
mcs10_r005_s50_AB05 1000000 1000.000000 1000.000183 1000000 1000000 1000000 1000000 1000000 1000005 1000005 1000001 1000001 1000013
mcs10_r005_s50_AB06 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000000 1000004 1000006 1000000 1000001 1000005
mcs10_r005_s50_AB07 1000000 1000.000000 1000.000122 1000000 1000000 1000000 1000000 1000000 1000004 1000007 1000000 1000001 1000007
mcs10_r005_s50_AB08 1000001 1000.000000 1000.000549 1000000 1000000 1000000 1000000 1000000 1000004 1000006 1000000 1000001 1000003
mcs10_r005_s50_AB09 1000000 1000.000000 1000.000977 1000000 1000000 1000000 1000000 1000000 1000004 1000006 1000001 1000001 1000008
mcs10_r01_s20_AB00 288 0.525537 0.920194 990 28 38 28 38 44 42 12 15 184
mcs10_r01_s20_AB01 285 0.631049 1.035421 740 21 27 21 39 44 47 8 14 148
mcs10_r01_s20_AB02 144 0.415582 0.621786 1131 25 47 25 33 35 37 10 14 201
mcs10_r01_s20_AB03 180 0.242310 0.620413 354 8 9 8 8 38 39 4 9 49
mcs10_r01_s20_AB04 169 0.397233 0.558731 205 14 18 15 18 34 42 6 10 104
mcs10_r01_s20_AB05 101 0.386570 0.604436 434 9 12 9 12 30 36 6 10 115
mcs10_r01_s20_AB06 201 0.461697 0.824065 1494 23 32 24 33 39 43 9 12 259
mcs10_r01_s20_AB07 56 0.076582 0.137459 1388 8 6 9 6 26 29 4 9 182
mcs10_r01_s20_AB08 59 0.255050 0.431963 2273 10 15 10 13 26 28 5 11 343
mcs10_r01_s20_AB09 109 0.165918 0.256423 542 10 11 9 11 34 38 5 10 71
mcs10_r01_s25_AB00 7426 5.993411 9.110029 10029 807 1058 775 1018 532 446 213 178 5428
mcs10_r01_s25_AB01 6678 23.049728 36.238079 25606 513 724 631 745 508 416 168 159 4147
mcs10_r01_s25_AB02 6537 17.068041 26.866676 27364 646 814 519 771 498 407 171 167 5863
mcs10_r01_s25_AB03 7768 4.672403 9.687489 13338 467 654 482 619 572 453 143 126 3468
mcs10_r01_s25_AB04 8652 13.494305 25.057684 29728 722 1032 790 1018 626 497 194 222 5289
mcs10_r01_s25_AB05 11148 15.215357 27.911625 35918 688 1020 684 1081 844 628 247 226 6838
mcs10_r01_s25_AB06 5405 5.769263 11.665149 22049 215 190 189 194 426 329 39 47 5175
mcs10_r01_s25_AB07 3942 14.035178 25.231874 25097 179 257 148 215 350 239 73 62 2296
mcs10_r01_s25_AB08 8870 7.372616 12.378112 12656 487 746 482 679 658 531 164 146 6426
mcs10_r01_s25_AB09 6366 12.812483 20.704000 21498 514 706 493 693 507 394 216 208 6740
mcs10_r01_s30_AB00 739842 358.120514 624.685303 868905 15854 23455 15500 22785 48191 37573 5620 4757 208612
mcs10_r01_s30_AB01 409684 128.389969 227.832962 249247 9940 13381 9423 13245 26697 20751 3323 2665 96956
mcs10_r01_s30_AB02 274839 237.215302 409.206390 502630 7564 9841 7579 9867 16882 12693 2654 2421 81538
mcs10_r01_s30_AB03 279996 296.137726 441.968994 1000000 16234 24673 15601 23198 18270 14343 5770 4803 169747
mcs10_r01_s30_AB04 172020 180.805466 316.382629 309743 7373 10691 7161 10314 11238 8777 2839 2646 94206
mcs10_r01_s30_AB05 255369 291.376892 546.893372 667702 13118 19585 12874 19021 16908 12964 5234 4426 197166
mcs10_r01_s30_AB06 401832 353.193451 516.170654 718027 13349 20914 13193 20604 26060 20368 4951 4274 180022
mcs10_r01_s30_AB07 295040 375.478394 661.842224 459621 8472 12156 8310 11834 19452 15081 4202 3560 181798
mcs10_r01_s30_AB08 488363 420.417877 691.357971 853885 17074 25131 16978 24155 31544 24436 5952 5196 203586
mcs10_r01_s30_AB09 328048 313.861633 511.000244 669119 13882 21775 13509 20686 21338 16551 4892 4095 174160
mcs10_r01_s35_AB00 1000000 1000.000000 1000.000000 1000000 97643 151387 97556 139335 689603 455499 35076 27781 1000002
mcs10_r01_s35_AB01 1000000 1000.000000 1000.000000 1000000 140928 218647 136077 211014 451332 304022 62772 58104 1000002
mcs10_r01_s35_AB02 1000000 1000.000000 1000.000000 1000000 163814 257919 160455 256121 380997 257191 58365 51490 1000002
