instance clique james-cpp-max james-cpp-max-down cp-branching-fc cp-branching-filtering-fc cp-filtering-fc clique-par/t32
mcs10_r01_s20_AB02 259005 148931 149297 217826.000000 105652.000000 105793.000000 394910
mcs10_r01_s20_AB03 232961 40677 34003 59175.000000 45804.000000 45760.000000 228933
mcs10_r01_s20_AB04 313899 62896 72761 86069.000000 54610.000000 54640.000000 322194
mcs10_r01_s20_AB05 231892 79899 50648 55329.000000 23017.000000 22994.000000 194443
mcs10_r01_s20_AB06 279568 96494 121282 165977.000000 103012.000000 103050.000000 271794
mcs10_r01_s20_AB07 270650 67994 51419 54767.000000 29584.000000 29857.000000 292433
mcs10_r01_s20_AB08 251041 151464 199844 185333.000000 61783.000000 62480.000000 257701
mcs10_r01_s20_AB09 229528 43518 44730 58163.000000 38116.000000 38481.000000 220681
mcs10_r01_s25_AB00 10959867 2653582 3262005 3049040.000000 2640452.000000 2641641.000000 10629458
mcs10_r01_s25_AB01 6924863 1546607 2175420 1659859.000000 1307839.000000 1309797.000000 7087684
mcs10_r01_s25_AB02 9205594 2151854 2987971 2435782.000000 1682183.000000 1685076.000000 9592916
mcs10_r01_s25_AB03 8100529 1742950 2254555 1696308.000000 1314616.000000 1316028.000000 8123336
mcs10_r01_s25_AB04 9096761 2519789 3513127 3435828.000000 2533184.000000 2535598.000000 8776150
mcs10_r01_s25_AB05 10523726 2638718 3530923 3162891.000000 1812618.000000 1816588.000000 10015907
mcs10_r01_s25_AB06 5041711 1180911 1192412 1231206.000000 621173.000000 621254.000000 4756460
mcs10_r01_s25_AB07 10067340 2315875 3195195 2245903.000000 1266887.000000 1274454.000000 9510884
mcs10_r01_s25_AB08 10119331 1897507 2388724 1933080.000000 1485037.000000 1486071.000000 9932482
mcs10_r01_s25_AB09 7745087 1671104 2271823 2573846.000000 1539149.000000 1538583.000000 6785006
mcs10_r01_s30_AB00 NaN 45313987 65668161 51837094.000000 40625511.000000 40642309.000000 433766446
mcs10_r01_s30_AB01 NaN 29539070 39945941 18137961.000000 14672131.000000 14673222.000000 251504606
mcs10_r01_s30_AB02 NaN 32692449 28673364 28782442.000000 18194202.000000 18204213.000000 239104998
mcs10_r01_s30_AB03 NaN 46327843 67815395 54963796.000000 45387451.000000 45441391.000000 373956469
mcs10_r01_s30_AB04 163616156 26352367 37071003 34620416.000000 15956192.000000 15959833.000000 150432735
mcs10_r01_s30_AB05 NaN 37305245 54694810 43268547.000000 33899240.000000 33918440.000000 210580346
mcs10_r01_s30_AB06 NaN 39949964 59660341 59379409.000000 39383143.000000 39412023.000000 313816058
mcs10_r01_s30_AB07 NaN 26744278 37171728 29663014.000000 26041289.000000 26060537.000000 184524193
mcs10_r01_s30_AB08 NaN 53369806 77810774 68895015.000000 59421028.000000 59440875.000000 323231126
mcs10_r01_s30_AB09 NaN 44997428 66941631 52505559.000000 44555823.000000 44567515.000000 255526459
mcs10_r01_s35_AB00 NaN 388800431 464531327 NaN NaN NaN NaN
mcs10_r01_s35_AB01 NaN 857360049 1235808297 NaN NaN NaN NaN
mcs10_r01_s35_AB02 NaN 475343127 705420981 NaN NaN NaN NaN
mcs10_r01_s35_AB03 NaN 470550686 719553431 NaN NaN NaN NaN
mcs10_r01_s35_AB04 NaN 415818732 621752660 NaN NaN NaN NaN
mcs10_r01_s35_AB05 NaN 751340220 1123546177 NaN NaN NaN NaN
mcs10_r01_s35_AB06 NaN 207415043 313496241 171616660.000000 NaN NaN 2329934900
mcs10_r01_s35_AB07 NaN 1158876230 1760279570 NaN NaN NaN NaN
mcs10_r01_s35_AB08 NaN 480380323 724626959 NaN NaN NaN NaN
mcs10_r01_s35_AB09 NaN 974506089 1509549573 NaN NaN NaN NaN
mcs10_r01_s40_AB00 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s40_AB01 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s40_AB02 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s40_AB03 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s40_AB04 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s40_AB05 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s40_AB06 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s40_AB07 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s40_AB08 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s40_AB09 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s50_AB00 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s50_AB01 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s50_AB02 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s50_AB03 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s50_AB04 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s50_AB05 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s50_AB06 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s50_AB07 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s50_AB08 NaN NaN NaN NaN NaN NaN NaN
mcs10_r01_s50_AB09 NaN NaN NaN NaN NaN NaN NaN
mcs10_r02_s20_AB00 269276 564228 920105 708453.000000 701897.000000 718399.000000 267915
mcs10_r02_s20_AB01 130889 224403 352122 288627.000000 286599.000000 296894.000000 134202
mcs10_r02_s20_AB02 127049 140414 218268 188776.000000 172184.000000 156093.000000 123846
mcs10_r02_s20_AB03 207600 295973 454617 403813.000000 392037.000000 398073.000000 232095
mcs10_r02_s20_AB04 202429 368378 616596 552246.000000 538477.000000 590897.000000 197759
mcs10_r02_s20_AB05 226397 568609 923731 662827.000000 649261.000000 659192.000000 229119
mcs10_r02_s20_AB06 158580 400511 683643 298951.000000 295886.000000 304527.000000 140857
mcs10_r02_s20_AB07 274008 446269 698616 569606.000000 547205.000000 565004.000000 275155
mcs10_r02_s20_AB08 207880 380833 602631 466429.000000 441984.000000 452461.000000 206849
mcs10_r02_s20_AB09 155030 209844 331781 231958.000000 227060.000000 246093.000000 155818
mcs10_r02_s25_AB00 2403963 3987294 6918123 5718562.000000 5322190.000000 5358438.000000 2302935
mcs10_r02_s25_AB01 3173797 4753868 7920235 6328039.000000 6192866.000000 6376616.000000 3178689
mcs10_r02_s25_AB02 3047078 6801109 11906805 6552505.000000 6485102.000000 7072451.000000 2973173
mcs10_r02_s25_AB03 2652971 3348146 5669600 3126854.000000 3110622.000000 3177845.000000 2560532
mcs10_r02_s25_AB04 2901899 5195073 8719505 7154469.000000 6795138.000000 7048438.000000 2910263
mcs10_r02_s25_AB05 2903558 5245671 9345436 6077131.000000 5946814.000000 6027075.000000 2826602
mcs10_r02_s25_AB06 2894188 5811912 10235632 7295213.000000 7114500.000000 7617973.000000 2877443
mcs10_r02_s25_AB07 3902443 7998179 13836631 9637791.000000 9578316.000000 9674229.000000 3861058
mcs10_r02_s25_AB08 1688135 3822197 6833037 5645136.000000 5454319.000000 5720276.000000 1730368
mcs10_r02_s25_AB09 3139506 5578113 9409394 6613282.000000 6562482.000000 6753077.000000 3099089
mcs10_r02_s30_AB00 26085555 66508197 122483127 65481796.000000 64682021.000000 66466607.000000 25284074
mcs10_r02_s30_AB01 27812164 68384273 126437223 67429627.000000 66490376.000000 69417777.000000 27595253
mcs10_r02_s30_AB02 40842064 79355964 144194531 114303230.000000 NaN NaN 40859515
