instance family cp
mcs10_r01_s35_AB07 0 1000.000000
mcs10_r01_s35_AB08 0 1000.000000
mcs10_r01_s35_AB09 0 1000.000000
mcs10_r01_s40_AB00 0 1000.000000
mcs10_r01_s40_AB01 0 1000.000000
mcs10_r01_s40_AB02 0 1000.000000
mcs10_r01_s40_AB03 0 1000.000000
mcs10_r01_s40_AB04 0 1000.000000
mcs10_r01_s40_AB05 0 1000.000000
mcs10_r01_s40_AB06 0 1000.000000
mcs10_r01_s40_AB07 0 1000.000000
mcs10_r01_s40_AB08 0 1000.000000
mcs10_r01_s40_AB09 0 1000.000000
mcs10_r01_s50_AB00 0 1000.000000
mcs10_r01_s50_AB01 0 1000.000000
mcs10_r01_s50_AB02 0 1000.000000
mcs10_r01_s50_AB03 0 1000.000000
mcs10_r01_s50_AB04 0 1000.000000
mcs10_r01_s50_AB05 0 1000.000000
mcs10_r01_s50_AB06 0 1000.000000
mcs10_r01_s50_AB07 0 1000.000000
mcs10_r01_s50_AB08 0 1000.000000
mcs10_r01_s50_AB09 0 1000.000061
mcs10_r02_s20_AB00 0 1.940395
mcs10_r02_s20_AB01 0 0.994897
mcs10_r02_s20_AB02 0 0.565075
mcs10_r02_s20_AB03 0 1.222839
mcs10_r02_s20_AB04 0 1.784206
mcs10_r02_s20_AB05 0 1.904165
mcs10_r02_s20_AB06 0 0.879768
mcs10_r02_s20_AB07 0 1.798040
mcs10_r02_s20_AB08 0 1.490399
mcs10_r02_s20_AB09 0 0.829845
mcs10_r02_s25_AB00 0 19.042152
mcs10_r02_s25_AB01 0 21.883245
mcs10_r02_s25_AB02 0 24.625624
mcs10_r02_s25_AB03 0 12.201346
mcs10_r02_s25_AB04 0 25.415171
mcs10_r02_s25_AB05 0 21.433212
mcs10_r02_s25_AB06 0 26.240976
mcs10_r02_s25_AB07 0 29.670973
mcs10_r02_s25_AB08 0 19.640612
mcs10_r02_s25_AB09 0 23.900881
mcs10_r02_s30_AB00 0 246.338043
mcs10_r02_s30_AB01 0 268.146759
mcs10_r02_s30_AB02 0 456.265839
mcs10_r02_s30_AB03 0 456.525574
mcs10_r02_s30_AB04 0 457.308746
mcs10_r02_s30_AB05 0 231.412292
mcs10_r02_s30_AB06 0 384.302368
mcs10_r02_s30_AB07 0 203.885498
mcs10_r02_s30_AB08 0 465.569427
mcs10_r02_s30_AB09 0 462.873230
mcs10_r02_s35_AB00 0 1000.000000
mcs10_r02_s35_AB01 0 1000.000000
mcs10_r02_s35_AB02 0 1000.000000
mcs10_r02_s35_AB03 0 1000.000000
mcs10_r02_s35_AB04 0 1000.000000
mcs10_r02_s35_AB05 0 1000.000000
mcs10_r02_s35_AB06 0 1000.000000
mcs10_r02_s35_AB07 0 1000.000000
mcs10_r02_s35_AB08 0 1000.000000
mcs10_r02_s35_AB09 0 1000.000000
mcs10_r02_s40_AB00 0 1000.000000
mcs10_r02_s40_AB01 0 1000.000000
mcs10_r02_s40_AB02 0 1000.000000
mcs10_r02_s40_AB03 0 1000.000000
mcs10_r02_s40_AB04 0 1000.000000
mcs10_r02_s40_AB05 0 1000.000000
mcs10_r02_s40_AB06 0 1000.000000
mcs10_r02_s40_AB07 0 1000.000000
mcs10_r02_s40_AB08 0 1000.000000
mcs10_r02_s40_AB09 0 1000.000000
mcs10_r02_s50_AB00 0 1000.000000
mcs10_r02_s50_AB01 0 1000.000000
mcs10_r02_s50_AB02 0 1000.000000
mcs10_r02_s50_AB03 0 1000.000000
mcs10_r02_s50_AB04 0 1000.000000
mcs10_r02_s50_AB05 0 1000.000000
mcs10_r02_s50_AB06 0 1000.000000
mcs10_r02_s50_AB07 0 1000.000000
mcs10_r02_s50_AB08 0 1000.000000
mcs10_r02_s50_AB09 0 1000.000000
mcs30_b03_s15_AB00 0 0.028460
mcs30_b03_s15_AB01 0 0.006475
mcs30_b03_s15_AB02 0 0.026261
mcs30_b03_s15_AB03 0 0.021582
mcs30_b03_s15_AB04 0 0.013681
mcs30_b03_s15_AB05 0 0.015418
mcs30_b03_s15_AB06 0 0.024537
mcs30_b03_s15_AB07 0 0.009463
mcs30_b03_s15_AB08 0 0.018027
mcs30_b03_s15_AB09 0 0.023087
mcs30_b03_s20_AB00 0 0.309188
mcs30_b03_s20_AB01 0 0.447249
mcs30_b03_s20_AB02 0 0.282766
mcs30_b03_s20_AB03 0 0.296883
mcs30_b03_s20_AB04 0 0.241422
mcs30_b03_s20_AB05 0 0.573470
mcs30_b03_s20_AB06 0 0.238226
mcs30_b03_s20_AB07 0 0.105373
mcs30_b03_s20_AB08 0 0.130799
mcs30_b03_s20_AB09 0 0.217879
mcs30_b03_s25_AB00 0 7.855856
mcs30_b03_s25_AB01 0 0.700444
mcs30_b03_s25_AB02 0 117.883247
mcs30_b03_s25_AB03 0 2.251526
mcs30_b03_s25_AB04 0 1.519231
mcs30_b03_s25_AB05 0 18.901785
mcs30_b03_s25_AB06 0 37.439793
mcs30_b03_s25_AB07 0 6.520398
mcs30_b03_s25_AB08 0 1.593704
mcs30_b03_s25_AB09 0 18.347754
mcs30_b03_s30_AB00 0 55.491936
mcs30_b03_s30_AB01 0 33.168938
mcs30_b03_s30_AB02 0 30.142675
mcs30_b03_s30_AB03 0 306.927979
mcs30_b03_s30_AB04 0 32.397507
mcs30_b03_s30_AB05 0 51.753014
