instance family
mcs10_r01_s40_AB08 0 1000001
mcs10_r01_s40_AB09 0 1000000
mcs10_r01_s50_AB00 0 1000000
mcs10_r01_s50_AB01 0 1000000
mcs10_r01_s50_AB02 0 1000000
mcs10_r01_s50_AB03 0 1000001
mcs10_r01_s50_AB04 0 1000000
mcs10_r01_s50_AB05 0 1000000
mcs10_r01_s50_AB06 0 1000000
mcs10_r01_s50_AB07 0 1000001
mcs10_r01_s50_AB08 0 1000000
mcs10_r01_s50_AB09 0 1000000
mcs10_r02_s20_AB00 0 100
mcs10_r02_s20_AB01 0 67
mcs10_r02_s20_AB02 0 57
mcs10_r02_s20_AB03 0 121
mcs10_r02_s20_AB04 0 121
mcs10_r02_s20_AB05 0 89
mcs10_r02_s20_AB06 0 74
mcs10_r02_s20_AB07 0 109
mcs10_r02_s20_AB08 0 120
mcs10_r02_s20_AB09 0 100
mcs10_r02_s25_AB00 0 1386
mcs10_r02_s25_AB01 0 1805
mcs10_r02_s25_AB02 0 1682
mcs10_r02_s25_AB03 0 1628
mcs10_r02_s25_AB04 0 1783
mcs10_r02_s25_AB05 0 1594
mcs10_r02_s25_AB06 0 1964
mcs10_r02_s25_AB07 0 2643
mcs10_r02_s25_AB08 0 968
mcs10_r02_s25_AB09 0 1856
mcs10_r02_s30_AB00 0 19579
mcs10_r02_s30_AB01 0 19608
mcs10_r02_s30_AB02 0 25854
mcs10_r02_s30_AB03 0 29518
mcs10_r02_s30_AB04 0 27319
mcs10_r02_s30_AB05 0 23938
mcs10_r02_s30_AB06 0 18506
mcs10_r02_s30_AB07 0 15243
mcs10_r02_s30_AB08 0 29194
mcs10_r02_s30_AB09 0 30694
mcs10_r02_s35_AB00 0 443616
mcs10_r02_s35_AB01 0 390406
mcs10_r02_s35_AB02 0 430887
mcs10_r02_s35_AB03 0 449278
mcs10_r02_s35_AB04 0 354228
mcs10_r02_s35_AB05 0 347730
mcs10_r02_s35_AB06 0 456327
mcs10_r02_s35_AB07 0 338280
mcs10_r02_s35_AB08 0 457661
mcs10_r02_s35_AB09 0 482982
mcs10_r02_s40_AB00 0 1000000
mcs10_r02_s40_AB01 0 1000000
mcs10_r02_s40_AB02 0 1000000
mcs10_r02_s40_AB03 0 1000000
mcs10_r02_s40_AB04 0 1000000
mcs10_r02_s40_AB05 0 1000000
mcs10_r02_s40_AB06 0 1000000
mcs10_r02_s40_AB07 0 1000000
mcs10_r02_s40_AB08 0 1000000
mcs10_r02_s40_AB09 0 1000000
mcs10_r02_s50_AB00 0 1000000
mcs10_r02_s50_AB01 0 1000000
mcs10_r02_s50_AB02 0 1000000
mcs10_r02_s50_AB03 0 1000001
mcs10_r02_s50_AB04 0 1000000
mcs10_r02_s50_AB05 0 1000001
mcs10_r02_s50_AB06 0 1000000
mcs10_r02_s50_AB07 0 1000000
mcs10_r02_s50_AB08 0 1000000
mcs10_r02_s50_AB09 0 1000000
mcs30_b03_s15_AB00 0 7
mcs30_b03_s15_AB01 0 10
mcs30_b03_s15_AB02 0 10
mcs30_b03_s15_AB03 0 8
mcs30_b03_s15_AB04 0 8
mcs30_b03_s15_AB05 0 12
mcs30_b03_s15_AB06 0 8
mcs30_b03_s15_AB07 0 6
mcs30_b03_s15_AB08 0 10
mcs30_b03_s15_AB09 0 7
mcs30_b03_s20_AB00 0 154
mcs30_b03_s20_AB01 0 90
mcs30_b03_s20_AB02 0 213
mcs30_b03_s20_AB03 0 280
mcs30_b03_s20_AB04 0 117
mcs30_b03_s20_AB05 0 80
mcs30_b03_s20_AB06 0 197
mcs30_b03_s20_AB07 0 115
mcs30_b03_s20_AB08 0 36
mcs30_b03_s20_AB09 0 47
mcs30_b03_s25_AB00 0 7870
mcs30_b03_s25_AB01 0 9660
mcs30_b03_s25_AB02 0 3236
mcs30_b03_s25_AB03 0 18629
mcs30_b03_s25_AB04 0 2508
mcs30_b03_s25_AB05 0 5528
mcs30_b03_s25_AB06 0 16059
mcs30_b03_s25_AB07 0 2313
mcs30_b03_s25_AB08 0 1292
mcs30_b03_s25_AB09 0 6227
mcs30_b03_s30_AB00 0 226951
mcs30_b03_s30_AB01 0 198272
mcs30_b03_s30_AB02 0 142913
mcs30_b03_s30_AB03 0 123977
mcs30_b03_s30_AB04 0 53310
mcs30_b03_s30_AB05 0 13187
mcs30_b03_s30_AB06 0 600682
mcs30_b03_s30_AB07 0 60354
mcs30_b03_s30_AB08 0 569492
mcs30_b03_s30_AB09 0 1000000
mcs30_b03_s35_AB00 0 1000000
mcs30_b03_s35_AB01 0 1000000
mcs30_b03_s35_AB02 0 1000000
mcs30_b03_s35_AB03 0 1000000
mcs30_b03_s35_AB04 0 1000000
mcs30_b03_s35_AB05 0 1000000
mcs30_b03_s35_AB06 0 1000001
mcs30_b03_s35_AB07 0 1000000
mcs30_b03_s35_AB08 0 1000000
mcs30_b03_s35_AB09 0 1000000
mcs30_b03_s40_AB00 0 1000000
mcs30_b03_s40_AB01 0 1000000
mcs30_b03_s40_AB02 0 1000000
mcs30_b03_s40_AB03 0 1000000
mcs30_b03_s40_AB04 0 1000001
mcs30_b03_s40_AB05 0 1000000
mcs30_b03_s40_AB06 0 1000000
mcs30_b03_s40_AB07 0 1000001
mcs30_b03_s40_AB08 0 1000000
mcs30_b03_s40_AB09 0 1000000
mcs30_b03_s50_AB00 0 1000001
mcs30_b03_s50_AB01 0 1000001
mcs30_b03_s50_AB02 0 1000001
mcs30_b03_s50_AB03 0 1000001
mcs30_b03_s50_AB04 0 1000000
mcs30_b03_s50_AB05 0 1000001
mcs30_b03_s50_AB06 0 1000001
mcs30_b03_s50_AB07 0 1000000
mcs30_b03_s50_AB08 0 1000001
mcs30_b03_s50_AB09 0 1000001
mcs30_b03m_s15_AB00 0 7
mcs30_b03m_s15_AB01 0 7
mcs30_b03m_s15_AB02 0 9
mcs30_b03m_s15_AB03 0 8
mcs30_b03m_s15_AB04 0 18
mcs30_b03m_s15_AB05 0 7
mcs30_b03m_s15_AB06 0 8
mcs30_b03m_s15_AB07 0 7
mcs30_b03m_s15_AB08 0 9
mcs30_b03m_s15_AB09 0 8
mcs30_b03m_s20_AB00 0 146
mcs30_b03m_s20_AB01 0 40
mcs30_b03m_s20_AB02 0 48
mcs30_b03m_s20_AB03 0 241
mcs30_b03m_s20_AB04 0 343
mcs30_b03m_s20_AB05 0 95
mcs30_b03m_s20_AB06 0 62
mcs30_b03m_s20_AB07 0 60
mcs30_b03m_s20_AB08 0 131
mcs30_b03m_s20_AB09 0 218
mcs30_b03m_s25_AB00 0 9583
mcs30_b03m_s25_AB01 0 1404
mcs30_b03m_s25_AB02 0 4517
mcs30_b03m_s25_AB03 0 9789
mcs30_b03m_s25_AB04 0 1485
mcs30_b03m_s25_AB05 0 420
mcs30_b03m_s25_AB06 0 16710
mcs30_b03m_s25_AB07 0 22925
mcs30_b03m_s25_AB08 0 170707
mcs30_b03m_s25_AB09 0 2526
mcs30_b03m_s30_AB00 0 155742
mcs30_b03m_s30_AB01 0 45388
mcs30_b03m_s30_AB02 0 57204
mcs30_b03m_s30_AB03 0 146743
mcs30_b03m_s30_AB04 0 457747
mcs30_b03m_s30_AB05 0 610904
mcs30_b03m_s30_AB06 0 102778
mcs30_b03m_s30_AB07 0 178201
mcs30_b03m_s30_AB08 0 319998
mcs30_b03m_s30_AB09 0 360502
mcs30_b03m_s35_AB00 0 1000000
mcs30_b03m_s35_AB01 0 1000000
mcs30_b03m_s35_AB02 0 1000000
mcs30_b03m_s35_AB03 0 1000000
mcs30_b03m_s35_AB04 0 1000000
mcs30_b03m_s35_AB05 0 1000000
mcs30_b03m_s35_AB06 0 1000000
mcs30_b03m_s35_AB07 0 1000001
mcs30_b03m_s35_AB08 0 1000000
mcs30_b03m_s35_AB09 0 1000000
mcs30_b03m_s40_AB00 0 1000000
mcs30_b03m_s40_AB01 0 1000000
mcs30_b03m_s40_AB02 0 1000000
mcs30_b03m_s40_AB03 0 1000000
mcs30_b03m_s40_AB04 0 1000000
mcs30_b03m_s40_AB05 0 1000000
mcs30_b03m_s40_AB06 0 1000000
mcs30_b03m_s40_AB07 0 1000001
mcs30_b03m_s40_AB08 0 1000000
mcs30_b03m_s40_AB09 0 1000000
mcs30_b03m_s50_AB00 0 1000001
mcs30_b03m_s50_AB01 0 1000001
mcs30_b03m_s50_AB02 0 1000001
mcs30_b03m_s50_AB03 0 1000001
mcs30_b03m_s50_AB04 0 1000000
mcs30_b03m_s50_AB05 0 1000001
mcs30_b03m_s50_AB06 0 1000001
mcs30_b03m_s50_AB07 0 1000000
mcs30_b03m_s50_AB08 0 1000001
mcs30_b03m_s50_AB09 0 1000001
mcs30_b06_s25_AB00 0 5280
mcs30_b06_s25_AB01 0 2102
mcs30_b06_s25_AB02 0 3541
mcs30_b06_s25_AB03 0 5450
mcs30_b06_s25_AB04 0 6078
mcs30_b06_s25_AB05 0 5659
mcs30_b06_s25_AB06 0 3873
mcs30_b06_s25_AB07 0 5766
mcs30_b06_s25_AB08 0 8018
mcs30_b06_s25_AB09 0 2819
mcs30_b06_s30_AB00 0 516420
mcs30_b06_s30_AB01 0 289537
mcs30_b06_s30_AB02 0 81065
mcs30_b06_s30_AB03 0 121208
mcs30_b06_s30_AB04 0 168979
mcs30_b06_s30_AB05 0 606637
mcs30_b06_s30_AB06 0 108872
mcs30_b06_s30_AB07 0 105672
mcs30_b06_s30_AB08 0 46559
mcs30_b06_s30_AB09 0 149911
mcs30_b06_s35_AB00 0 1000000
mcs30_b06_s35_AB01 0 1000000
mcs30_b06_s35_AB02 0 1000000
mcs30_b06_s35_AB03 0 1000000
