instance clique cp-fc james-cpp-max
mcs30_b03m_s40_AB04 418858 3056804.000000 2619433
mcs30_b03m_s40_AB05 96657 2609028.000000 36573
mcs30_b03m_s40_AB06 105241 1631024.000000 340662
mcs30_b03m_s40_AB07 1928426 81993342.000000 24321985
mcs30_b03m_s40_AB08 70291 3033725.000000 473115
mcs30_b03m_s40_AB09 279689 42304644.000000 43909135
mcs30_b06_s25_AB00 1349 10600.000000 8724
mcs30_b06_s25_AB01 564 13479.000000 6838
mcs30_b06_s25_AB02 1003 15980.000000 15153
mcs30_b06_s25_AB03 360 17352.000000 11217
mcs30_b06_s25_AB04 1647 18254.000000 12720
mcs30_b06_s25_AB05 2255 28493.000000 26430
mcs30_b06_s25_AB06 569 14921.000000 7205
mcs30_b06_s25_AB07 736 15373.000000 12790
mcs30_b06_s25_AB08 149 2173.000000 1688
mcs30_b06_s25_AB09 107 2123.000000 1442
mcs30_b06_s30_AB00 667 11383.000000 5606
mcs30_b06_s30_AB01 43 3410.000000 2410
mcs30_b06_s30_AB02 108 9063.000000 3556
mcs30_b06_s30_AB03 85 4031.000000 6251
mcs30_b06_s30_AB04 1024 30060.000000 15252
mcs30_b06_s30_AB05 200 17291.000000 10101
mcs30_b06_s30_AB06 136 5831.000000 3599
mcs30_b06_s30_AB07 236 16668.000000 9056
mcs30_b06_s30_AB08 107 4550.000000 6441
mcs30_b06_s30_AB09 96 4900.000000 3134
mcs30_b06_s35_AB00 549 74635.000000 61819
mcs30_b06_s35_AB01 544 25775.000000 25082
mcs30_b06_s35_AB02 461 28807.000000 13078
mcs30_b06_s35_AB03 2025 68628.000000 36381
mcs30_b06_s35_AB04 184 52713.000000 17446
mcs30_b06_s35_AB05 336 20027.000000 9510
mcs30_b06_s35_AB06 275 27735.000000 9058
mcs30_b06_s35_AB07 96 12903.000000 28053
mcs30_b06_s35_AB08 4571 111623.000000 31916
mcs30_b06_s35_AB09 501 32907.000000 30604
mcs30_b06_s40_AB00 7610 699692.000000 245160
mcs30_b06_s40_AB01 2859 266334.000000 84819
mcs30_b06_s40_AB02 588 121790.000000 43443
mcs30_b06_s40_AB03 3309 83793.000000 59911
mcs30_b06_s40_AB04 178 69989.000000 17277
mcs30_b06_s40_AB05 2184 188596.000000 183281
mcs30_b06_s40_AB06 517 67916.000000 7794
mcs30_b06_s40_AB07 399 115706.000000 53145
mcs30_b06_s40_AB08 6008 1014785.000000 218796
mcs30_b06_s40_AB09 6961 743698.000000 504441
mcs30_b06m_s25_AB00 865 10621.000000 3959
mcs30_b06m_s25_AB01 544 10359.000000 13041
mcs30_b06m_s25_AB02 972 20162.000000 6425
mcs30_b06m_s25_AB03 242 5094.000000 4641
mcs30_b06m_s25_AB04 1504 13837.000000 13806
mcs30_b06m_s25_AB05 1214 12191.000000 18768
mcs30_b06m_s25_AB06 720 9748.000000 7071
mcs30_b06m_s25_AB07 1001 15902.000000 7597
mcs30_b06m_s25_AB08 2934 20694.000000 9558
mcs30_b06m_s25_AB09 1005 12860.000000 4032
mcs30_b06m_s30_AB00 196 4869.000000 2075
mcs30_b06m_s30_AB01 400 28094.000000 15074
mcs30_b06m_s30_AB02 266 11906.000000 8026
mcs30_b06m_s30_AB03 189 10268.000000 4939
mcs30_b06m_s30_AB04 29 1193.000000 690
mcs30_b06m_s30_AB05 352 26917.000000 14078
mcs30_b06m_s30_AB06 201 15751.000000 8319
mcs30_b06m_s30_AB07 246 6512.000000 3173
mcs30_b06m_s30_AB08 224 6048.000000 2558
mcs30_b06m_s30_AB09 133 3375.000000 2269
mcs30_b06m_s35_AB00 438 80889.000000 14115
mcs30_b06m_s35_AB01 4995 67078.000000 33893
mcs30_b06m_s35_AB02 965 59689.000000 17486
mcs30_b06m_s35_AB03 1158 22510.000000 8557
mcs30_b06m_s35_AB04 232 22166.000000 5878
mcs30_b06m_s35_AB05 1209 73532.000000 54378
mcs30_b06m_s35_AB06 5472 82463.000000 58445
mcs30_b06m_s35_AB07 890 29587.000000 61899
mcs30_b06m_s35_AB08 477 89202.000000 21017
mcs30_b06m_s35_AB09 489 20688.000000 14748
mcs30_b06m_s40_AB00 1714 253592.000000 131532
mcs30_b06m_s40_AB01 7970 53231.000000 29367
mcs30_b06m_s40_AB02 1379 142222.000000 107793
mcs30_b06m_s40_AB03 1868 393058.000000 297044
mcs30_b06m_s40_AB04 968 118051.000000 43029
mcs30_b06m_s40_AB05 2545 325738.000000 97451
mcs30_b06m_s40_AB06 7218 698058.000000 344115
mcs30_b06m_s40_AB07 661 211040.000000 41811
mcs30_b06m_s40_AB08 5128 656075.000000 175004
mcs30_b06m_s40_AB09 4407 270677.000000 211021
mcs30_b09_s35_AB00 141 8914.000000 6042
mcs30_b09_s35_AB01 250 15939.000000 9064
mcs30_b09_s35_AB02 98 8079.000000 1554
mcs30_b09_s35_AB03 242 12188.000000 5902
mcs30_b09_s35_AB04 133 17167.000000 11090
mcs30_b09_s35_AB05 190 12648.000000 6358
mcs30_b09_s35_AB06 183 10010.000000 5028
mcs30_b09_s35_AB07 67 4364.000000 2255
mcs30_b09_s35_AB08 1153 16388.000000 9766
mcs30_b09_s35_AB09 426 13300.000000 10189
mcs30_b09_s40_AB00 2719 119564.000000 77042
mcs30_b09_s40_AB01 809 90949.000000 33284
mcs30_b09_s40_AB02 957 43578.000000 27018
mcs30_b09_s40_AB03 519 64562.000000 43571
mcs30_b09_s40_AB04 1764 55093.000000 47019
mcs30_b09_s40_AB05 1439 39136.000000 37170
mcs30_b09_s40_AB06 570 31088.000000 18794
mcs30_b09_s40_AB07 152 9899.000000 4944
mcs30_b09_s40_AB08 1146 46797.000000 16532
mcs30_b09_s40_AB09 1189 50206.000000 52736
mcs30_b09m_s35_AB00 1172 46812.000000 17771
mcs30_b09m_s35_AB01 386 18215.000000 8427
mcs30_b09m_s35_AB02 275 20713.000000 15912
mcs30_b09m_s35_AB03 303 13163.000000 8480
mcs30_b09m_s35_AB04 224 20498.000000 10262
mcs30_b09m_s35_AB05 569 31446.000000 15908
mcs30_b09m_s35_AB06 378 32512.000000 16322
mcs30_b09m_s35_AB07 601 31440.000000 20345
mcs30_b09m_s35_AB08 684 29966.000000 21138
mcs30_b09m_s35_AB09 572 22599.000000 14941
mcs30_b09m_s40_AB00 739 52225.000000 40178
mcs30_b09m_s40_AB01 2823 102067.000000 63789
mcs30_b09m_s40_AB02 2967 132545.000000 52448
mcs30_b09m_s40_AB03 4072 179384.000000 139862
mcs30_b09m_s40_AB04 1243 50107.000000 20722
mcs30_b09m_s40_AB05 372 39575.000000 15766
mcs30_b09m_s40_AB06 583 37870.000000 27798
mcs30_b09m_s40_AB07 492 92539.000000 50334
mcs30_b09m_s40_AB08 700 34461.000000 22843
mcs30_b09m_s40_AB09 1161 125090.000000 48432
mcs30_m2D_s30_AB00 2288 59857.000000 56416
mcs30_m2D_s30_AB01 1816 22824.000000 14029
mcs30_m2D_s30_AB02 574 36435.000000 17314
mcs30_m2D_s30_AB03 102 3910.000000 2212
mcs30_m2D_s30_AB04 631 26154.000000 17675
mcs30_m2D_s30_AB05 768 20312.000000 14329
mcs30_m2D_s30_AB06 197 13543.000000 11009
mcs30_m2D_s30_AB07 700 72942.000000 23441
mcs30_m2D_s30_AB08 1982 19049.000000 20008
mcs30_m2D_s30_AB09 227 6522.000000 4592
mcs30_m2Dr2_s30_AB00 913 10469.000000 4703
mcs30_m2Dr2_s30_AB01 336 21425.000000 13361
mcs30_m2Dr2_s30_AB02 1262 33316.000000 26394
mcs30_m2Dr2_s30_AB03 577 9733.000000 3133
mcs30_m2Dr2_s30_AB04 761 23397.000000 12381
mcs30_m2Dr2_s30_AB05 1049 31961.000000 13481
mcs30_m2Dr2_s30_AB06 997 38018.000000 17373
mcs30_m2Dr2_s30_AB07 824 6577.000000 2550
mcs30_m2Dr2_s30_AB08 1400 47484.000000 21428
mcs30_m2Dr2_s30_AB09 373 10950.000000 6916
mcs30_m2Dr4_s30_AB00 14263 19942.000000 7946
mcs30_m2Dr4_s30_AB01 190 9126.000000 6216
mcs30_m2Dr4_s30_AB02 1184 49509.000000 33129
mcs30_m2Dr4_s30_AB03 485 20506.000000 9318
mcs30_m2Dr4_s30_AB04 7750 40887.000000 11292
mcs30_m2Dr4_s30_AB05 363 20757.000000 11795
mcs30_m2Dr4_s30_AB06 467 24705.000000 7951
mcs30_m2Dr4_s30_AB07 207 5691.000000 3553
mcs30_m2Dr4_s30_AB08 885 28135.000000 24424
mcs30_m2Dr4_s30_AB09 1098 13948.000000 9915
mcs30_m2Dr6_s30_AB00 1131 6440.000000 2866
mcs30_m2Dr6_s30_AB01 598 25765.000000 9319
mcs30_m2Dr6_s30_AB02 133 6452.000000 3786
mcs30_m2Dr6_s30_AB03 260 51911.000000 18239
mcs30_m2Dr6_s30_AB04 573 10343.000000 9575
mcs30_m2Dr6_s30_AB05 612 6922.000000 5545
mcs30_m2Dr6_s30_AB06 166 13449.000000 22293
mcs30_m2Dr6_s30_AB07 511 9629.000000 3192
mcs30_m2Dr6_s30_AB08 1098 41260.000000 21963
mcs30_m2Dr6_s30_AB09 744 9217.000000 11537
mcs30_m3D_s25_AB00 8137 52480.000000 30755
mcs30_m3D_s25_AB01 521 42279.000000 37051
mcs30_m3D_s25_AB02 1472 22975.000000 16746
mcs30_m3D_s25_AB03 521 16988.000000 2855
mcs30_m3D_s25_AB04 8109 64219.000000 5743
mcs30_m3D_s25_AB05 3653 21562.000000 9129
mcs30_m3D_s25_AB06 840 10644.000000 7115
mcs30_m3D_s25_AB07 6531 39023.000000 22312
mcs30_m3D_s25_AB08 5118 11089.000000 20215
mcs30_m3D_s25_AB09 1858 10777.000000 3084
mcs30_m3D_s30_AB00 1012 26579.000000 25111
mcs30_m3D_s30_AB01 760 22627.000000 25790
mcs30_m3D_s30_AB02 131 13019.000000 5294
mcs30_m3D_s30_AB03 1141 17208.000000 7801
mcs30_m3D_s30_AB04 1515 26997.000000 17202
