instance clique cp-fc james-cpp-max
mcs10_b06m_s70_AB08 38093 1000.000000 141625
mcs10_b06m_s70_AB09 80944 1000.000061 297871
mcs10_b06m_s80_AB00 223629 1000.000061 1000000
mcs10_b06m_s80_AB01 194774 1000.000000 1000000
mcs10_b06m_s80_AB02 1000000 1000.000000 1000000
mcs10_b06m_s80_AB03 151880 1000.000000 225497
mcs10_b06m_s80_AB04 40029 1000.000000 776657
mcs10_b06m_s80_AB05 1000000 1000.000000 1000000
mcs10_b06m_s80_AB06 229034 1000.000000 1000000
mcs10_b06m_s80_AB07 1000000 1000.000000 1000000
mcs10_b06m_s80_AB08 568955 1000.000061 1000000
mcs10_b06m_s80_AB09 211445 1000.000000 1000000
mcs10_b06m_s90_AB00 1000000 1000.000061 1000000
mcs10_b06m_s90_AB01 1000000 1000.000061 1000000
mcs10_b06m_s90_AB02 1000000 1000.000061 1000000
mcs10_b06m_s90_AB03 1000000 1000.000061 1000000
mcs10_b06m_s90_AB04 1000000 1000.000061 1000000
mcs10_b06m_s90_AB05 1000000 1000.000061 1000000
mcs10_b06m_s90_AB06 1000000 1000.000061 1000000
mcs10_b06m_s90_AB07 1000000 1000.000061 1000000
mcs10_b06m_s90_AB08 1000000 1000.000000 1000000
mcs10_b06m_s90_AB09 1000000 1000.000000 1000000
mcs10_b09_s100_AB00 9338 1000.000061 1000000
mcs10_b09_s100_AB01 4373 1000.000000 663731
mcs10_b09_s100_AB02 16209 1000.000000 839500
mcs10_b09_s100_AB03 55972 1000.000000 745342
mcs10_b09_s100_AB04 8019 1000.000061 326427
mcs10_b09_s100_AB05 21947 1000.000000 782879
mcs10_b09_s100_AB06 2710 1000.000061 73942
mcs10_b09_s100_AB07 16246 1000.000061 343027
mcs10_b09_s100_AB08 42605 1000.000061 424326
mcs10_b09_s100_AB09 5882 1000.000000 359288
mcs10_b09m_s100_AB00 6708 1000.000061 533187
mcs10_b09m_s100_AB01 115340 1000.000000 1000000
mcs10_b09m_s100_AB02 26734 1000.000061 1000000
mcs10_b09m_s100_AB03 18239 1000.000061 1000000
mcs10_b09m_s100_AB04 5762 1000.000000 385999
mcs10_b09m_s100_AB05 2091 1000.000061 388563
mcs10_b09m_s100_AB06 97651 1000.000061 1000000
mcs10_b09m_s100_AB07 16705 1000.000000 675968
mcs10_b09m_s100_AB08 9982 1000.000061 373946
mcs10_b09m_s100_AB09 42901 1000.000000 761812
mcs10_m2D_s100_AB00 1000000 1000.000061 1000000
mcs10_m2D_s100_AB01 1000000 1000.000061 1000000
mcs10_m2D_s100_AB02 1000000 1000.000061 1000000
mcs10_m2D_s100_AB03 372235 1000.000061 1000000
mcs10_m2D_s100_AB04 1000000 1000.000122 1000000
mcs10_m2D_s100_AB05 454097 1000.000061 1000000
mcs10_m2D_s100_AB06 1000000 1000.000061 1000001
mcs10_m2D_s100_AB07 1000000 1000.000061 1000000
mcs10_m2D_s100_AB08 1000000 1000.000061 1000000
mcs10_m2D_s100_AB09 1000000 1000.000061 1000000
mcs10_m2D_s40_AB00 229 9.743426 826
mcs10_m2D_s40_AB01 407 15.662440 377
mcs10_m2D_s40_AB02 36 4.201270 351
mcs10_m2D_s40_AB03 76 7.148234 345
mcs10_m2D_s40_AB04 78 76.826324 2357
mcs10_m2D_s40_AB05 102 6.281726 636
mcs10_m2D_s40_AB06 926 21.963911 423
mcs10_m2D_s40_AB07 24 13.776180 324
mcs10_m2D_s40_AB08 48 0.961387 37
mcs10_m2D_s40_AB09 19 8.085420 559
mcs10_m2D_s50_AB00 1000000 1000.000000 71991
mcs10_m2D_s50_AB01 1000000 1000.000000 496837
mcs10_m2D_s50_AB02 52715 1000.000000 107748
mcs10_m2D_s50_AB03 181436 1000.000000 20598
mcs10_m2D_s50_AB04 3190 1000.000000 8295
mcs10_m2D_s50_AB05 991275 934.674011 40237
mcs10_m2D_s50_AB06 10238 1000.000000 230360
mcs10_m2D_s50_AB07 33701 1000.000000 79919
mcs10_m2D_s50_AB08 46144 1000.000000 103170
mcs10_m2D_s50_AB09 986222 1000.000000 80503
mcs10_m2D_s60_AB00 664 133.614822 2010
mcs10_m2D_s60_AB01 18073 1000.000000 12821
mcs10_m2D_s60_AB02 8908 306.548279 38285
mcs10_m2D_s60_AB03 7640 1000.000000 686737
mcs10_m2D_s60_AB04 2329 1000.000000 34331
mcs10_m2D_s60_AB05 651 1000.000000 48013
mcs10_m2D_s60_AB06 5264 706.869263 32470
mcs10_m2D_s60_AB07 365799 1000.000000 32826
mcs10_m2D_s60_AB08 11106 1000.000000 11272
mcs10_m2D_s60_AB09 5579 1000.000000 32445
mcs10_m2D_s70_AB00 683874 1000.000000 556337
mcs10_m2D_s70_AB01 144487 1000.000000 1000000
mcs10_m2D_s70_AB02 325582 1000.000061 1000000
mcs10_m2D_s70_AB03 1000000 1000.000000 737943
mcs10_m2D_s70_AB04 29311 1000.000061 1000000
mcs10_m2D_s70_AB05 83953 1000.000000 1000000
mcs10_m2D_s70_AB06 89613 1000.000061 1000000
