instance clique cp-fc kdown james-cpp-max james-cpp-max-down kdown-par/t32
si6_r001_m200.06 1e6 1000.000122 33 1000000 0 11
si6_r001_m200.08 1e6 1000.000122 33 1000000 1 12
si6_r001_m200.03 1e6 1000.000122 34 1000000 1 14
si4_b06_m400.06 1e6 166.922592 132 2 2 41
si4_b06_m400.07 1e6 149.896851 171 3 3 38
si4_b06_m400.09 1e6 165.505875 186 2 2 38
si4_b06_m400.01 1e6 164.719574 155 2 3 38
si4_b06_m400.04 1e6 195.490692 142 2 2 37
si4_b06_m400.03 1e6 134.991837 140 2 2 39
si4_b06_m400.00 1e6 111.568916 146 2 2 40
si4_b06_m400.05 1e6 113.943367 227 3 3 40
si4_b06_m400.08 1e6 152.384003 133 2 2 38
si4_b06_m400.02 1e6 167.671890 136 2 2 38
si2_m4Dr6_m256.06 1000008 1000.000061 32 5212 7 12
si2_m4Dr6_m256.05 1000008 1000.000061 32 9 0 12
si2_m4Dr6_m256.09 1000009 1000.000061 32 1000000 10 13
si2_m4Dr6_m256.00 1000008 1000.000061 33 1000000 12 13
si2_m4Dr6_m256.07 1000007 526.045227 32 552620 1 12
si2_m4Dr6_m256.04 1000009 1000.000061 33 1000000 1 14
si2_m4Dr6_m256.02 1000006 1000.000061 33 1000000 3 11
si2_m4Dr6_m256.01 1000008 10.258945 34 1000000 50 13
si2_m4Dr6_m256.08 1000007 12.077070 58 1000000 5 13
si2_m4Dr6_m256.03 1000009 1000.000061 32 1000000 1 11
si6_r01_m200.04 1000015 1000.000000 1349 1000000 2 135
si6_r01_m200.08 1000015 1000.000061 656 1000000 6 114
si6_r01_m200.02 1000015 1000.000000 3091 1000000 9 348
si6_r01_m200.09 1000018 1000.000061 4904 1000000 1 588
si6_r01_m200.07 1000015 1000.000061 1043 1000000 5 160
si6_r01_m200.00 1000014 1000.000061 1100 1000000 12 142
si6_r01_m200.01 1000013 1000.000061 12811 1000000 2 1465
si6_r01_m200.03 1000015 1000.000061 3007 1000000 25 404
si6_r01_m200.05 1000015 1000.000061 4616 1000000 8 586
si6_r01_m200.06 1000015 1000.000061 4707 1000000 3 586
si2_b03m_m800.03 1e6 1000.000549 500 1000003 6 71
si2_b03m_m800.02 1e6 1000.000732 329 1000004 7 66
si2_b03m_m800.09 1e6 1000.000305 432 6043 9 74
si2_b03m_m800.04 1e6 1000.000549 352 1000003 6 61
si2_b03m_m800.06 1e6 1000.000366 331 1000002 6 73
si2_b03m_m800.05 1e6 1000.000549 478 1000003 9 68
si2_b03m_m800.01 1e6 1000.000427 344 36708 9 63
si2_b03m_m800.08 1e6 1000.000549 388 1000003 6 75
si2_b03m_m800.07 1e6 1000.000488 340 1000003 1000003 58
si2_b03m_m800.00 1e6 1000.000366 335 1000003 6 64
si2_r001_m200.06 1000004 15.698606 39 19 10 15
si2_r001_m200.01 1000003 146.499908 20 25540 397 11
si2_r001_m200.02 1000003 27.513920 35 1784 170 12
si2_r001_m200.07 1000003 192.341370 19 38439 1 11
si2_r001_m200.04 1000003 1000.000061 20 91818 5 10
si2_r001_m200.05 1000004 147.130295 52 307172 307734 12
si2_r001_m200.09 1000004 1000.000000 3833 196936 64716 23
si2_r001_m200.03 1000004 33.854561 28 4094 2578 11
si2_r001_m200.00 1000004 1.212958 21 0 0 12
si2_r001_m200.08 1000004 1000.000000 24 1000000 18380 13
si6_b03m_m800.01 1e6 1e3 686 1000007 13 112
si6_b03m_m800.08 1e6 1e3 679 1000003 9 114
