instance clique cp-fc kdown james-cpp-max james-cpp-max-down kdown-par/t32
si2_r001_m200.08 NaN NaN 127 NaN 48316287 234
si6_b03m_m800.01 NaN NaN 35 NaN 1999 401
si6_b03m_m800.08 NaN NaN 22 NaN 1917 413
si6_b03m_m800.03 NaN NaN 26 971569 209956 294
si6_b03m_m800.00 NaN NaN 29 NaN 1956 288
si6_b03m_m800.04 NaN NaN 44 NaN 1928 454
si6_b03m_m800.05 NaN NaN 34 NaN 1937 388
si6_b03m_m800.07 NaN NaN 32 NaN 2446 774
si6_b03m_m800.06 NaN NaN 46 NaN 2001 470
si6_b03m_m800.09 NaN NaN 35 NaN 1998 328
si6_b03m_m800.02 NaN NaN 33 NaN 2066 355
si4_r005_m200.00 NaN NaN 2457 NaN 18489 3107
si4_r005_m200.08 NaN NaN 413 NaN 2127 456
si4_r005_m200.02 NaN NaN 362 NaN 28859 513
si4_r005_m200.05 NaN NaN 339 NaN 1952 377
si4_r005_m200.06 NaN NaN 169 NaN 1202 277
si4_r005_m200.04 NaN NaN 4642 NaN 4134 4392
si4_r005_m200.07 NaN NaN 1284 NaN 4078 1341
si4_r005_m200.09 NaN NaN 1096 NaN 6568 1058
si4_r005_m200.01 NaN NaN 1385 NaN 1339 1378
si4_r005_m200.03 NaN NaN 947 NaN 8498 1094
si6_b09m_m400.03 NaN 917.000000 2 908 908 2
si6_b09m_m400.07 NaN 920.000000 1 NaN 922 1
si6_b09m_m400.00 NaN 918.000000 1 NaN 1190 1
si6_b09m_m400.04 NaN 924.000000 3 905 905 4
si6_b09m_m400.06 NaN 847.000000 2 1446 907 2
si6_b09m_m400.08 NaN 923.000000 3 NaN 1062 3
si6_b09m_m400.02 NaN 928.000000 3 NaN 927 4
si6_b09m_m400.05 NaN NaN 2 NaN 932 3
si6_b09m_m400.09 NaN 931.000000 3 NaN 1227 3
si6_b09m_m400.01 NaN 926.000000 3 NaN 989 4
si2_b09_m200.08 111084 17713.000000 3 291 291 30
si2_b09_m200.01 97730 2829628.000000 3 291 291 21
si2_b09_m200.06 106905 134.000000 3 291 291 30
si2_b09_m200.05 93095 1166.000000 3 291 291 30
si2_b09_m200.00 151642 1203.000000 3 292 292 31
si2_b09_m200.02 165454 384.000000 3 292 292 32
si2_b09_m200.03 89716 366.000000 3 291 291 29
si2_b09_m200.04 90854 2896.000000 3 292 292 31
si2_b09_m200.09 867039 3233.000000 3 291 291 31
si2_b09_m200.07 181204 308.000000 3 291 291 32
si6_r01_m600.02 NaN NaN 370862 NaN 59141 374633
si6_r01_m600.06 NaN NaN 409976 NaN 1520 409981
si6_r01_m600.09 NaN NaN 118243 NaN 164428 130274
si6_r01_m600.08 NaN NaN NaN NaN 1438717 467487
si6_r01_m600.05 NaN NaN 349646 NaN 3058 350164
si6_r01_m600.07 NaN NaN NaN NaN 127009 824651
si6_r01_m600.03 NaN NaN 250656 NaN 71970 256623
si6_r01_m600.00 NaN NaN 42830 NaN 37341 44668
si6_r01_m600.01 NaN NaN NaN NaN 8135 2853295
si6_r01_m600.04 NaN NaN NaN NaN 249737 1683501
si2_b06_m200.02 84024 338.000000 3 286 286 32
si2_b06_m200.00 86808 367.000000 3 286 286 28
si2_b06_m200.01 151787 333.000000 3 286 286 31
si2_b06_m200.06 100820 284.000000 3 286 286 31
si2_b06_m200.09 140014 276.000000 3 286 286 32
si2_b06_m200.07 505113 406.000000 3 286 286 32
si2_b06_m200.04 111011 322.000000 3 286 286 15
si2_b06_m200.08 135912 325.000000 3 286 286 32
si2_b06_m200.03 90609 308.000000 3 286 286 32
si2_b06_m200.05 123224 330.000000 3 286 286 31
si6_m4Dr2_m1296.05 NaN NaN 9 NaN 2998 59
si6_m4Dr2_m1296.09 NaN NaN 6 NaN 3033 37
si6_m4Dr2_m1296.01 NaN NaN 14 NaN 2932 165
si6_m4Dr2_m1296.06 NaN NaN 15 NaN 2900 206
si6_m4Dr2_m1296.07 NaN NaN 11 NaN 3424 88
si6_m4Dr2_m1296.03 NaN NaN 8 NaN 2944 49
si6_m4Dr2_m1296.04 NaN NaN 13 NaN 2959 155
si6_m4Dr2_m1296.00 NaN NaN 16 NaN 2985 313
si6_m4Dr2_m1296.08 NaN NaN 10 2885 2885 93
si6_m4Dr2_m1296.02 NaN NaN 19 2902 2902 366
si2_b09m_m800.09 NaN NaN 16 NaN 1367 151
si2_b09m_m800.07 NaN NaN 21 NaN 250824613 283
si2_b09m_m800.00 NaN NaN 16 NaN 1490 84
si2_b09m_m800.04 NaN NaN 16 NaN 1322 127
si2_b09m_m800.02 NaN NaN 13 NaN 1292 63
si2_b09m_m800.05 NaN NaN 14 NaN 1392 191
si2_b09m_m800.03 NaN NaN 11 NaN 1883 51
si2_b09m_m800.08 NaN NaN 21 NaN 1237 394
si2_b09m_m800.06 NaN NaN 5 NaN 2459 6
si2_b09m_m800.01 NaN NaN 10 NaN 1458 40
si4_b03_m400.01 NaN 1015.000000 3 723 723 33
si4_b03_m400.02 NaN 1014.000000 3 723 723 32
si4_b03_m400.05 NaN 790.000000 3 723 723 34
si4_b03_m400.07 NaN 772.000000 3 723 723 33
si4_b03_m400.06 NaN 795.000000 3 723 723 33
si4_b03_m400.00 NaN 755.000000 3 723 723 35
si4_b03_m400.03 NaN 1022.000000 3 723 723 33
si4_b03_m400.04 NaN 1367.000000 3 723 723 32
si4_b03_m400.09 NaN 1010.000000 3 723 723 35
si4_b03_m400.08 NaN 1366.000000 3 723 723 32
si2_b03_m200.05 NaN 352.000000 3 283 283 32
si2_b03_m200.09 NaN 178.000000 3 283 283 30
si2_b03_m200.07 NaN 172.000000 3 283 283 33
si2_b03_m200.01 NaN 352.000000 3 283 283 32
si2_b03_m200.08 5146 218.000000 3 283 283 31
si2_b03_m200.02 NaN 246.000000 3 283 283 16
si2_b03_m200.04 NaN 354.000000 3 283 283 29
si2_b03_m200.03 NaN 351.000000 3 283 283 29
si2_b03_m200.06 1899194 346.000000 3 283 283 31
si2_b03_m200.00 74033 205.000000 3 283 283 32
si4_r005_m600.00 NaN NaN 99897 NaN 57449 105235
si4_r005_m600.02 NaN NaN 31345 NaN 72529 32013
si4_r005_m600.08 NaN NaN 135862 NaN 497550 143376
si4_r005_m600.05 NaN NaN 84632 NaN 184187 83979
si4_r005_m600.07 NaN NaN 49822 NaN 95157 52052
si4_r005_m600.06 NaN NaN 267203 NaN 209741 263484
si4_r005_m600.01 NaN NaN 94521 NaN 27107 96194
si4_r005_m600.04 NaN NaN 86092 NaN 194863 90078
si4_r005_m600.03 NaN NaN 24238 NaN 22554 26312
si4_r005_m600.09 NaN NaN 28418 NaN 8886 29095
si4_b09_m400.05 NaN 2025938.000000 3 731 731 34
si4_b09_m400.03 NaN 2920490.000000 3 731 731 32
si4_b09_m400.00 NaN 3724.000000 3 732 732 34
si4_b09_m400.07 NaN 1195289.000000 3 731 731 34
si4_b09_m400.01 NaN NaN 3 731 731 32
si4_b09_m400.06 NaN NaN 3 732 732 33
si4_b09_m400.04 NaN 1737.000000 3 732 732 33
si4_b09_m400.02 NaN NaN 3 731 731 33
si4_b09_m400.08 NaN 1306884.000000 3 734 734 32
si4_b09_m400.09 NaN 5134.000000 3 731 731 32
si4_b06m_m400.06 NaN NaN 10 NaN 772 30
si4_b06m_m400.03 NaN NaN 4 NaN 754 6
