instance clique cp-fc cp-mac james-cpp-max
mcs10_b06_s100_AB04 39850 1000.000061 1000.000000 1000000
mcs10_b06_s100_AB05 383399 1000.000061 1000.000061 1000000
mcs10_b06_s100_AB06 19387 1000.000061 1000.000061 1000000
mcs10_b06_s100_AB07 268662 1000.000061 1000.000061 1000000
mcs10_b06_s100_AB08 145849 1000.000061 1000.000061 1000000
mcs10_b06_s100_AB09 18458 1000.000061 1000.000061 808855
mcs10_b06_s70_AB00 8832 1000.000000 1000.000000 495696
mcs10_b06_s70_AB01 2026 776.838501 652.812744 30544
mcs10_b06_s70_AB02 13725 1000.000000 1000.000000 569300
mcs10_b06_s70_AB03 1448 1000.000000 1000.000000 39692
mcs10_b06_s70_AB04 2332 1000.000061 1000.000000 100596
mcs10_b06_s70_AB05 8109 1000.000061 1000.000000 110568
mcs10_b06_s70_AB06 8483 1000.000061 1000.000061 103944
mcs10_b06_s70_AB07 4881 1000.000061 1000.000061 44054
mcs10_b06_s70_AB08 47813 1000.000061 1000.000000 102877
mcs10_b06_s70_AB09 7835 1000.000061 1000.000000 93462
mcs10_b06_s80_AB00 142188 1000.000000 1000.000000 1000000
mcs10_b06_s80_AB01 1000000 1000.000061 1000.000000 1000000
mcs10_b06_s80_AB02 20796 1000.000061 1000.000000 33084
mcs10_b06_s80_AB03 468545 1000.000061 1000.000000 860218
mcs10_b06_s80_AB04 571121 1000.000061 1000.000000 1000000
mcs10_b06_s80_AB05 231737 1000.000000 1000.000000 989046
mcs10_b06_s80_AB06 862565 1000.000000 1000.000000 1000000
mcs10_b06_s80_AB07 1000000 1000.000000 1000.000000 1000000
mcs10_b06_s80_AB08 367351 1000.000000 1000.000000 830927
mcs10_b06_s80_AB09 705398 1000.000000 1000.000000 1000000
mcs10_b06_s90_AB00 1000000 1000.000061 1000.000061 1000000
mcs10_b06_s90_AB01 1000000 1000.000061 1000.000000 1000000
mcs10_b06_s90_AB02 1000000 1000.000061 1000.000000 1000000
mcs10_b06_s90_AB03 1000000 1000.000061 1000.000061 1000000
mcs10_b06_s90_AB04 1000000 1000.000061 1000.000061 1000000
mcs10_b06_s90_AB05 1000000 1000.000000 1000.000000 1000000
mcs10_b06_s90_AB06 1000000 1000.000061 1000.000000 1000000
mcs10_b06_s90_AB07 1000000 1000.000061 1000.000061 1000000
mcs10_b06_s90_AB08 1000000 1000.000000 1000.000000 1000000
mcs10_b06_s90_AB09 1000000 1000.000061 1000.000061 1000000
mcs10_b06m_s100_AB00 13682 1000.000061 1000.000000 258328
mcs10_b06m_s100_AB01 638903 1000.000061 1000.000061 1000000
mcs10_b06m_s100_AB02 52223 1000.000061 1000.000061 1000000
mcs10_b06m_s100_AB03 54416 1000.000061 1000.000061 1000000
mcs10_b06m_s100_AB04 116740 1000.000061 1000.000061 1000000
mcs10_b06m_s100_AB05 110460 1000.000061 1000.000061 1000000
mcs10_b06m_s100_AB06 816549 1000.000061 1000.000000 1000000
mcs10_b06m_s100_AB07 54997 1000.000061 1000.000061 1000000
mcs10_b06m_s100_AB08 238236 1000.000061 1000.000061 1000000
mcs10_b06m_s100_AB09 175104 1000.000061 1000.000061 1000000
mcs10_b06m_s70_AB00 7249 1000.000000 1000.000061 62011
mcs10_b06m_s70_AB01 6954 1000.000000 996.462463 40880
mcs10_b06m_s70_AB02 24987 1000.000000 1000.000061 194109
mcs10_b06m_s70_AB03 8851 1000.000061 1000.000000 56491
mcs10_b06m_s70_AB04 8207 1000.000000 1000.000000 102972
mcs10_b06m_s70_AB05 4437 1000.000000 1000.000000 114075
mcs10_b06m_s70_AB06 12970 1000.000061 1000.000000 214945
mcs10_b06m_s70_AB07 9526 1000.000061 1000.000000 191095
mcs10_b06m_s70_AB08 21286 562.999146 502.107269 28557
mcs10_b06m_s70_AB09 75929 1000.000000 1000.000061 312123
mcs10_b06m_s80_AB00 406599 1000.000000 1000.000000 1000000
mcs10_b06m_s80_AB01 447220 1000.000061 1000.000000 1000000
mcs10_b06m_s80_AB02 1000000 1000.000000 1000.000000 1000000
mcs10_b06m_s80_AB03 175985 1000.000000 1000.000000 210333
mcs10_b06m_s80_AB04 160401 1000.000000 1000.000061 898918
mcs10_b06m_s80_AB05 367225 1000.000000 1000.000122 1000000
mcs10_b06m_s80_AB06 1000000 1000.000000 1000.000000 1000000
mcs10_b06m_s80_AB07 1000000 1000.000061 1000.000122 1000000
mcs10_b06m_s80_AB08 1000000 1000.000000 1000.000000 1000000
mcs10_b06m_s80_AB09 517437 1000.000061 1000.000000 1000000
mcs10_b06m_s90_AB00 1000000 1000.000061 1000.000061 1000000
mcs10_b06m_s90_AB01 1000000 1000.000000 1000.000061 1000000
mcs10_b06m_s90_AB02 1000000 1000.000061 1000.000061 1000000
mcs10_b06m_s90_AB03 1000000 1000.000000 1000.000061 1000000
mcs10_b06m_s90_AB04 1000000 1000.000061 1000.000061 1000000
mcs10_b06m_s90_AB05 1000000 1000.000061 1000.000061 1000000
mcs10_b06m_s90_AB06 1000000 1000.000061 1000.000061 1000000
mcs10_b06m_s90_AB07 1000000 1000.000061 1000.000061 1000000
mcs10_b06m_s90_AB08 1000000 1000.000061 1000.000061 1000000
mcs10_b06m_s90_AB09 1000000 1000.000061 1000.000061 1000000
mcs10_b09_s100_AB00 26729 1000.000000 1000.000000 1000000
mcs10_b09_s100_AB01 8660 1000.000061 1000.000061 571722
mcs10_b09_s100_AB02 64689 1000.000000 1000.000000 1000000
mcs10_b09_s100_AB03 116355 1000.000000 1000.000000 1000000
mcs10_b09_s100_AB04 12948 1000.000000 1000.000061 209722
mcs10_b09_s100_AB05 43406 1000.000061 1000.000000 967754
