instance clique cp-fc cp-mac james-cpp-max
mcs10_b06m_s70_AB03 6152692 NaN NaN 139740967
mcs10_b06m_s70_AB04 6764627 NaN NaN 250349453
mcs10_b06m_s70_AB05 3769795 NaN NaN 274226873
mcs10_b06m_s70_AB06 8811753 NaN NaN 536310909
mcs10_b06m_s70_AB07 6443032 NaN NaN 471326458
mcs10_b06m_s70_AB08 17153746 119086939.000000 85823155.000000 74290670
mcs10_b06m_s70_AB09 57646114 NaN NaN 812686532
mcs10_b06m_s80_AB00 233018163 NaN NaN NaN
mcs10_b06m_s80_AB01 270376464 NaN NaN NaN
mcs10_b06m_s80_AB02 NaN NaN NaN NaN
mcs10_b06m_s80_AB03 106928310 NaN NaN 517273574
mcs10_b06m_s80_AB04 110381272 NaN NaN 2219002565
mcs10_b06m_s80_AB05 215862457 NaN NaN NaN
mcs10_b06m_s80_AB06 NaN NaN NaN NaN
mcs10_b06m_s80_AB07 NaN NaN NaN NaN
mcs10_b06m_s80_AB08 NaN NaN NaN NaN
mcs10_b06m_s80_AB09 311847386 NaN NaN NaN
mcs10_b06m_s90_AB00 NaN NaN NaN NaN
mcs10_b06m_s90_AB01 NaN NaN NaN NaN
mcs10_b06m_s90_AB02 NaN NaN NaN NaN
mcs10_b06m_s90_AB03 NaN NaN NaN NaN
mcs10_b06m_s90_AB04 NaN NaN NaN NaN
mcs10_b06m_s90_AB05 NaN NaN NaN NaN
mcs10_b06m_s90_AB06 NaN NaN NaN NaN
mcs10_b06m_s90_AB07 NaN NaN NaN NaN
mcs10_b06m_s90_AB08 NaN NaN NaN NaN
mcs10_b06m_s90_AB09 NaN NaN NaN NaN
mcs10_b09_s100_AB00 19016883 NaN NaN NaN
mcs10_b09_s100_AB01 5397593 NaN NaN 1161159809
mcs10_b09_s100_AB02 46363348 NaN NaN NaN
mcs10_b09_s100_AB03 98531964 NaN NaN NaN
mcs10_b09_s100_AB04 9442932 NaN NaN 422953978
mcs10_b09_s100_AB05 30646016 NaN NaN 1997875231
mcs10_b09_s100_AB06 4279524 NaN NaN 243557954
mcs10_b09_s100_AB07 13067435 NaN NaN 588556513
mcs10_b09_s100_AB08 101902626 NaN NaN 2054479949
mcs10_b09_s100_AB09 18015809 NaN NaN 1848964523
mcs10_b09m_s100_AB00 31838083 NaN NaN NaN
mcs10_b09m_s100_AB01 124602370 NaN NaN NaN
mcs10_b09m_s100_AB02 32565954 NaN NaN NaN
mcs10_b09m_s100_AB03 25188828 NaN NaN NaN
mcs10_b09m_s100_AB04 10670576 NaN NaN 316298657
mcs10_b09m_s100_AB05 6157769 NaN NaN 1503902917
mcs10_b09m_s100_AB06 65314634 NaN NaN NaN
mcs10_b09m_s100_AB07 19981374 NaN NaN 1882991592
mcs10_b09m_s100_AB08 14867496 NaN NaN 756404060
mcs10_b09m_s100_AB09 55770131 NaN NaN NaN
mcs10_m2D_s100_AB00 NaN NaN NaN NaN
mcs10_m2D_s100_AB01 53272017 NaN NaN NaN
mcs10_m2D_s100_AB02 665705396 NaN NaN NaN
mcs10_m2D_s100_AB03 41006799 NaN NaN NaN
mcs10_m2D_s100_AB04 300467435 NaN NaN NaN
mcs10_m2D_s100_AB05 493395398 NaN NaN NaN
mcs10_m2D_s100_AB06 369406075 NaN NaN NaN
mcs10_m2D_s100_AB07 NaN NaN NaN NaN
mcs10_m2D_s100_AB08 NaN NaN NaN NaN
mcs10_m2D_s100_AB09 NaN NaN NaN NaN
mcs10_m2D_s40_AB00 108241 441164.000000 367347.000000 918314
mcs10_m2D_s40_AB01 59077 687665.000000 454384.000000 188870
mcs10_m2D_s40_AB02 105908 953176.000000 711584.000000 533582
mcs10_m2D_s40_AB03 22801 474081.000000 317243.000000 154820
mcs10_m2D_s40_AB04 15502 2074804.000000 1293649.000000 771259
mcs10_m2D_s40_AB05 30198 801418.000000 620438.000000 459427
mcs10_m2D_s40_AB06 150293 1134421.000000 901786.000000 335421
mcs10_m2D_s40_AB07 32314 1254276.000000 690851.000000 589467
mcs10_m2D_s40_AB08 16404 67195.000000 48561.000000 111486
mcs10_m2D_s40_AB09 80350 834318.000000 489498.000000 829876
mcs10_m2D_s50_AB00 36312479 189873678.000000 121869600.000000 69593375
mcs10_m2D_s50_AB01 9419574 168185544.000000 123520506.000000 37020631
mcs10_m2D_s50_AB02 2036752 74324555.000000 46757430.000000 24182114
mcs10_m2D_s50_AB03 5977534 87884964.000000 64330130.000000 8089724
mcs10_m2D_s50_AB04 1446889 44691094.000000 34151741.000000 4393561
mcs10_m2D_s50_AB05 43064136 69630281.000000 58708369.000000 41126351
mcs10_m2D_s50_AB06 977515 52473283.000000 27948584.000000 16551673
mcs10_m2D_s50_AB07 682316 73461207.000000 36138000.000000 2567101
mcs10_m2D_s50_AB08 7697522 NaN 194075489.000000 53812401
mcs10_m2D_s50_AB09 81594338 185482005.000000 123969985.000000 79124009
mcs10_m2D_s60_AB00 741860 14090453.000000 10295995.000000 1090901
mcs10_m2D_s60_AB01 2832361 87655731.000000 71252000.000000 12586370
mcs10_m2D_s60_AB02 460471 12878975.000000 10991655.000000 4828996
mcs10_m2D_s60_AB03 1503682 NaN NaN 215429360
mcs10_m2D_s60_AB04 3062993 192793357.000000 155427944.000000 23662216
mcs10_m2D_s60_AB05 301463 156599664.000000 118734722.000000 52438076
mcs10_m2D_s60_AB06 7261844 111694303.000000 87402368.000000 55989590
mcs10_m2D_s60_AB07 124881647 184055201.000000 128202826.000000 88975273
mcs10_m2D_s60_AB08 177437 21513299.000000 17376579.000000 4282390
mcs10_m2D_s60_AB09 2286265 35172462.000000 23876245.000000 21451060
mcs10_m2D_s70_AB00 125881736 NaN NaN 1030594342
mcs10_m2D_s70_AB01 13826411 NaN NaN 291275429
mcs10_m2D_s70_AB02 46252406 NaN NaN 1888065920
mcs10_m2D_s70_AB03 17594160 NaN NaN 321030869
mcs10_m2D_s70_AB04 4126191 NaN NaN 1045919773
mcs10_m2D_s70_AB05 9936204 NaN NaN 384612410
mcs10_m2D_s70_AB06 28448036 NaN NaN 440286589
mcs10_m2D_s70_AB07 131183996 NaN NaN 522084394
mcs10_m2D_s70_AB08 23692373 NaN NaN 1013353512
mcs10_m2D_s70_AB09 41319277 NaN NaN 877869900
mcs10_m2D_s80_AB00 NaN NaN NaN 2248596315
mcs10_m2D_s80_AB01 NaN NaN NaN NaN
mcs10_m2D_s80_AB02 NaN NaN NaN NaN
mcs10_m2D_s80_AB03 NaN NaN NaN NaN
mcs10_m2D_s80_AB04 421607654 NaN NaN NaN
mcs10_m2D_s80_AB05 NaN NaN NaN NaN
mcs10_m2D_s80_AB06 NaN NaN NaN NaN
mcs10_m2D_s80_AB07 NaN NaN NaN NaN
mcs10_m2D_s80_AB08 NaN NaN NaN NaN
mcs10_m2D_s80_AB09 NaN NaN NaN NaN
mcs10_m2D_s90_AB00 NaN NaN NaN NaN
mcs10_m2D_s90_AB01 NaN NaN NaN NaN
mcs10_m2D_s90_AB02 NaN NaN NaN NaN
mcs10_m2D_s90_AB03 NaN NaN NaN NaN
mcs10_m2D_s90_AB04 NaN NaN NaN NaN
mcs10_m2D_s90_AB05 NaN NaN NaN NaN
mcs10_m2D_s90_AB06 NaN NaN NaN NaN
mcs10_m2D_s90_AB07 NaN NaN NaN NaN
mcs10_m2D_s90_AB08 NaN NaN NaN NaN
mcs10_m2D_s90_AB09 NaN NaN NaN NaN
mcs10_m2Dr2_s100_AB00 179371768 NaN NaN NaN
mcs10_m2Dr2_s100_AB01 NaN NaN NaN NaN
mcs10_m2Dr2_s100_AB02 444248820 NaN NaN NaN
mcs10_m2Dr2_s100_AB03 81074484 NaN NaN NaN
mcs10_m2Dr2_s100_AB04 61343418 NaN NaN NaN
mcs10_m2Dr2_s100_AB05 NaN NaN NaN NaN
mcs10_m2Dr2_s100_AB06 NaN NaN NaN NaN
mcs10_m2Dr2_s100_AB07 NaN NaN NaN NaN
mcs10_m2Dr2_s100_AB08 294305698 NaN NaN NaN
mcs10_m2Dr2_s100_AB09 NaN NaN NaN NaN
mcs10_m2Dr2_s70_AB00 37459293 NaN NaN 742393216
