instance clique james-cpp-max james-cpp-max-down clique-par/t32 cp-branching-mac cp-branching-filtering-mac cp-filtering-mac
mcs10_b06_s100_AB03 1238 2279 93342 1562 2281.000000 2251.000000 5529.000000
mcs10_b06_s100_AB04 1207 2257 72276 2135 2260.000000 1226.000000 1767.000000
mcs10_b06_s100_AB05 1452 2727 97890 2410 2720.000000 2578.000000 6230.000000
mcs10_b06_s100_AB06 1194 2238 60093 1488 2238.000000 1862.000000 4000.000000
mcs10_b06_s100_AB07 1219 2253 74494 1539 2266.000000 1708.000000 3908.000000
mcs10_b06_s100_AB08 1233 2280 57158 1562 2271.000000 2017.000000 2595.000000
mcs10_b06_s100_AB09 1203 2240 65556 1511 2254.000000 2192.000000 18350.000000
mcs10_b06_s70_AB00 479 755 18694 814 744.000000 728.000000 782.000000
mcs10_b06_s70_AB01 384 593 13839 682 584.000000 528.000000 888.000000
mcs10_b06_s70_AB02 387 598 14077 698 576.000000 512.000000 884.000000
mcs10_b06_s70_AB03 406 649 14163 703 651.000000 605.000000 685.000000
mcs10_b06_s70_AB04 412 663 17543 712 675.000000 669.000000 1037.000000
mcs10_b06_s70_AB05 398 607 12064 713 613.000000 582.000000 864.000000
mcs10_b06_s70_AB06 383 581 16257 693 587.000000 577.000000 764.000000
mcs10_b06_s70_AB07 377 585 14680 674 585.000000 579.000000 801.000000
mcs10_b06_s70_AB08 425 622 15145 756 609.000000 605.000000 1007.000000
mcs10_b06_s70_AB09 453 713 15796 763 716.000000 566.000000 916.000000
mcs10_b06_s80_AB00 618 980 23550 1023 952.000000 878.000000 1345.000000
mcs10_b06_s80_AB01 623 966 30220 1038 955.000000 935.000000 1258.000000
mcs10_b06_s80_AB02 673 1133 29482 1044 1148.000000 1116.000000 1900.000000
mcs10_b06_s80_AB03 672 1078 33318 1114 1105.000000 1077.000000 8844.000000
mcs10_b06_s80_AB04 614 976 27897 1014 967.000000 867.000000 1115.000000
mcs10_b06_s80_AB05 716 1171 20883 1105 1113.000000 753.000000 842.000000
mcs10_b06_s80_AB06 597 916 24856 1001 925.000000 911.000000 1163.000000
mcs10_b06_s80_AB07 625 1007 28046 1048 998.000000 958.000000 1095.000000
mcs10_b06_s80_AB08 596 952 25110 998 930.000000 826.000000 1434.000000
mcs10_b06_s80_AB09 687 1116 37907 1093 1102.000000 1062.000000 1666.000000
mcs10_b06_s90_AB00 932 1534 44422 1430 1544.000000 1476.000000 1808.000000
mcs10_b06_s90_AB01 938 1560 54444 2490 1559.000000 1540.000000 1719.000000
mcs10_b06_s90_AB02 935 1522 51398 1442 1511.000000 1363.000000 2003.000000
mcs10_b06_s90_AB03 1193 2080 68524 3853 2068.000000 1984.000000 2391.000000
mcs10_b06_s90_AB04 1158 2022 47989 3639 2023.000000 1955.000000 3299.000000
mcs10_b06_s90_AB05 978 1630 53969 1501 1580.000000 1374.000000 1648.000000
mcs10_b06_s90_AB06 973 1608 61217 1504 1596.000000 1528.000000 2099.000000
mcs10_b06_s90_AB07 919 1524 56526 2437 1510.000000 1492.000000 2204.000000
mcs10_b06_s90_AB08 923 1542 47079 2479 1531.000000 1303.000000 4870.000000
mcs10_b06_s90_AB09 953 1576 46675 2464 1559.000000 1025.000000 1256.000000
mcs10_b06m_s100_AB00 920 1691 53034 1211 1705.000000 1029.000000 2574.000000
mcs10_b06m_s100_AB01 1207 2190 82386 2262 2240.000000 1640.000000 4524.000000
mcs10_b06m_s100_AB02 1114 2081 67294 1417 2082.000000 1776.000000 4344.000000
mcs10_b06m_s100_AB03 1199 2239 73026 1512 2238.000000 1746.000000 4253.000000
mcs10_b06m_s100_AB04 1170 2193 65810 1481 2186.000000 2126.000000 5240.000000
mcs10_b06m_s100_AB05 960 1722 67154 1305 1722.000000 1616.000000 2320.000000
mcs10_b06m_s100_AB06 923 1639 54305 1247 1641.000000 1435.000000 4137.000000
mcs10_b06m_s100_AB07 459 727 26001 770 734.000000 706.000000 2123.000000
mcs10_b06m_s100_AB08 947 1715 52911 1937 1698.000000 1480.000000 3598.000000
mcs10_b06m_s100_AB09 1173 2164 66988 2187 2168.000000 2148.000000 5288.000000
mcs10_b06m_s70_AB00 378 544 12929 700 542.000000 466.000000 738.000000
mcs10_b06m_s70_AB01 367 539 9318 667 521.000000 495.000000 699.000000
mcs10_b06m_s70_AB02 434 679 17178 758 674.000000 632.000000 926.000000
mcs10_b06m_s70_AB03 379 543 13131 698 543.000000 533.000000 729.000000
mcs10_b06m_s70_AB04 382 592 13160 682 597.000000 571.000000 673.000000
mcs10_b06m_s70_AB05 363 502 11348 668 492.000000 454.000000 506.000000
mcs10_b06m_s70_AB06 405 582 13600 738 567.000000 523.000000 1061.000000
mcs10_b06m_s70_AB07 400 558 13374 730 574.000000 558.000000 772.000000
mcs10_b06m_s70_AB08 364 515 10683 681 515.000000 466.000000 596.000000
mcs10_b06m_s70_AB09 376 541 12873 720 525.000000 471.000000 570.000000
mcs10_b06m_s80_AB00 470 691 21171 870 691.000000 687.000000 1232.000000
mcs10_b06m_s80_AB01 525 789 23985 920 780.000000 762.000000 1331.000000
mcs10_b06m_s80_AB02 601 881 23833 1046 867.000000 853.000000 946.000000
mcs10_b06m_s80_AB03 555 881 24179 1788 868.000000 854.000000 998.000000
mcs10_b06m_s80_AB04 531 805 20959 923 819.000000 763.000000 842.000000
mcs10_b06m_s80_AB05 567 863 25501 979 859.000000 833.000000 1478.000000
mcs10_b06m_s80_AB06 556 814 23583 967 830.000000 824.000000 1922.000000
mcs10_b06m_s80_AB07 619 943 28863 1043 943.000000 911.000000 1184.000000
mcs10_b06m_s80_AB08 525 795 23821 922 795.000000 783.000000 1616.000000
mcs10_b06m_s80_AB09 500 751 22427 903 734.000000 662.000000 830.000000
mcs10_b06m_s90_AB00 876 1429 48899 1386 1414.000000 1360.000000 2195.000000
mcs10_b06m_s90_AB01 1203 2069 73710 2821 2060.000000 2037.000000 2560.000000
mcs10_b06m_s90_AB02 867 1478 54214 2358 1463.000000 1327.000000 1457.000000
mcs10_b06m_s90_AB03 949 1557 54095 2530 1541.000000 1141.000000 1506.000000
mcs10_b06m_s90_AB04 1049 1769 69021 2560 1782.000000 1746.000000 2190.000000
mcs10_b06m_s90_AB05 799 1259 43494 2303 1246.000000 1136.000000 1759.000000
mcs10_b06m_s90_AB06 847 1329 47248 1396 1316.000000 1228.000000 2636.000000
mcs10_b06m_s90_AB07 728 1101 38735 1225 1089.000000 988.000000 1403.000000
mcs10_b06m_s90_AB08 713 1017 28595 1251 996.000000 906.000000 1296.000000
mcs10_b06m_s90_AB09 772 1176 38855 1303 1169.000000 1133.000000 1866.000000
mcs10_b09_s100_AB00 1285 2413 67112 2886 2390.000000 1878.000000 2338.000000
mcs10_b09_s100_AB01 1271 2406 97807 1594 2399.000000 2243.000000 4035.000000
mcs10_b09_s100_AB02 1284 2407 87945 2258 2401.000000 2121.000000 3272.000000
mcs10_b09_s100_AB03 1548 2928 84973 1870 2897.000000 2861.000000 7417.000000
mcs10_b09_s100_AB04 1528 2858 78543 2446 2883.000000 2729.000000 5674.000000
mcs10_b09_s100_AB05 1989 3802 141442 2976 3806.000000 3760.000000 20144.000000
mcs10_b09_s100_AB06 1250 2363 65127 2118 2367.000000 2183.000000 8890.000000
mcs10_b09_s100_AB07 1289 2387 58334 1605 2389.000000 2133.000000 7607.000000
mcs10_b09_s100_AB08 1301 2403 86884 1640 2407.000000 2189.000000 3439.000000
mcs10_b09_s100_AB09 1556 2895 89852 2562 2892.000000 2141.000000 4352.000000
mcs10_b09m_s100_AB00 771 1346 44534 1090 1326.000000 1250.000000 2378.000000
mcs10_b09m_s100_AB01 695 1189 43502 1039 1191.000000 1166.000000 2712.000000
mcs10_b09m_s100_AB02 494 776 26926 812 769.000000 761.000000 1504.000000
mcs10_b09m_s100_AB03 728 1293 41434 1043 1297.000000 1291.000000 2231.000000
mcs10_b09m_s100_AB04 670 1169 29442 968 1181.000000 1151.000000 4156.000000
mcs10_b09m_s100_AB05 623 1065 38397 916 1068.000000 1005.000000 2549.000000
mcs10_b09m_s100_AB06 780 1345 46682 1808 1354.000000 1348.000000 3790.000000
mcs10_b09m_s100_AB07 824 1468 48876 1141 1460.000000 1352.000000 2141.000000
mcs10_b09m_s100_AB08 830 1475 53261 1146 1468.000000 1458.000000 2638.000000
mcs10_b09m_s100_AB09 1035 1886 68551 1364 1869.000000 1867.000000 4829.000000
mcs10_m2D_s100_AB00 630 1002 32434 952 1006.000000 703.000000 980.000000
mcs10_m2D_s100_AB01 467 752 26131 779 751.000000 695.000000 2311.000000
mcs10_m2D_s100_AB02 474 753 26545 778 751.000000 523.000000 662.000000
mcs10_m2D_s100_AB03 501 808 23336 821 810.000000 668.000000 1291.000000
mcs10_m2D_s100_AB04 686 1144 36894 1020 1135.000000 954.000000 1688.000000
mcs10_m2D_s100_AB05 475 780 29845 791 771.000000 641.000000 1478.000000
mcs10_m2D_s100_AB06 485 788 19271 808 776.000000 660.000000 1060.000000
mcs10_m2D_s100_AB07 519 802 30504 876 794.000000 726.000000 1989.000000
mcs10_m2D_s100_AB08 468 745 23281 777 751.000000 545.000000 904.000000
mcs10_m2D_s100_AB09 470 763 24650 790 762.000000 494.000000 632.000000
mcs10_m2D_s40_AB00 278 371 4694 523 371.000000 345.000000 711.000000
mcs10_m2D_s40_AB01 181 248 3583 373 251.000000 241.000000 339.000000
mcs10_m2D_s40_AB02 225 269 3158 432 294.000000 262.000000 383.000000
mcs10_m2D_s40_AB03 170 219 2528 352 223.000000 213.000000 810.000000
mcs10_m2D_s40_AB04 209 317 4171 408 302.000000 254.000000 349.000000
