instance clique james-cpp-max james-cpp-max-down clique-par/t32 cp-branching-mac cp-branching-filtering-mac cp-filtering-mac
mcs10_b06m_s100_AB06 57 1 34 56 0.011027 0.107597 0.223067
mcs10_b06m_s100_AB07 51 0 17 55 0.007331 0.055290 0.092347
mcs10_b06m_s100_AB08 59 1 32 64 0.011374 0.116900 0.183943
mcs10_b06m_s100_AB09 63 1 35 70 0.015484 0.174054 0.284928
mcs10_b06m_s70_AB00 43 0 6 47 0.005272 0.022587 0.027634
mcs10_b06m_s70_AB01 38 0 4 38 0.004816 0.021461 0.024190
mcs10_b06m_s70_AB02 44 0 9 46 0.005873 0.030102 0.032529
mcs10_b06m_s70_AB03 42 0 7 42 0.005170 0.024749 0.027464
mcs10_b06m_s70_AB04 37 0 6 42 0.005103 0.027607 0.028541
mcs10_b06m_s70_AB05 39 0 6 42 0.004650 0.021216 0.021587
mcs10_b06m_s70_AB06 45 0 7 47 0.005541 0.023954 0.029943
mcs10_b06m_s70_AB07 48 0 7 47 0.005533 0.027620 0.031961
mcs10_b06m_s70_AB08 41 0 5 45 0.004918 0.022091 0.023690
mcs10_b06m_s70_AB09 50 0 6 53 0.005351 0.023336 0.023651
mcs10_b06m_s80_AB00 74 0 12 72 0.007570 0.041548 0.055422
mcs10_b06m_s80_AB01 72 0 14 71 0.008114 0.044748 0.055301
mcs10_b06m_s80_AB02 90 0 11 89 0.008915 0.049786 0.052255
mcs10_b06m_s80_AB03 75 0 13 77 0.008769 0.049252 0.051268
mcs10_b06m_s80_AB04 93 0 11 71 0.008033 0.043595 0.045772
mcs10_b06m_s80_AB05 77 0 13 79 0.008694 0.047906 0.057326
mcs10_b06m_s80_AB06 78 0 12 80 0.008474 0.048576 0.064618
mcs10_b06m_s80_AB07 83 0 15 79 0.009436 0.052115 0.056590
mcs10_b06m_s80_AB08 72 0 14 70 0.008174 0.048070 0.066417
mcs10_b06m_s80_AB09 77 0 12 73 0.007713 0.041088 0.042693
mcs10_b06m_s90_AB00 130 1 36 124 0.013954 0.092356 0.113677
mcs10_b06m_s90_AB01 149 1 59 138 0.018952 0.143289 0.158225
mcs10_b06m_s90_AB02 125 1 31 130 0.013795 0.091086 0.091243
mcs10_b06m_s90_AB03 136 1 30 131 0.015651 0.084010 0.090396
mcs10_b06m_s90_AB04 129 1 40 120 0.016578 0.125338 0.131960
mcs10_b06m_s90_AB05 126 0 34 123 0.013451 0.078631 0.087012
mcs10_b06m_s90_AB06 147 0 26 143 0.014956 0.092746 0.121141
mcs10_b06m_s90_AB07 122 0 23 119 0.012224 0.070834 0.077977
mcs10_b06m_s90_AB08 140 0 16 130 0.012585 0.065809 0.074895
mcs10_b06m_s90_AB09 143 0 32 128 0.013207 0.078777 0.096950
mcs10_b09_s100_AB00 56 1 41 59 0.013747 0.136547 0.151894
mcs10_b09_s100_AB01 77 1 64 57 0.015508 0.169198 0.211463
mcs10_b09_s100_AB02 58 1 53 55 0.014778 0.143799 0.165164
mcs10_b09_s100_AB03 56 1 50 55 0.018456 0.228814 0.359089
mcs10_b09_s100_AB04 53 2 45 54 0.018318 0.230489 0.311814
mcs10_b09_s100_AB05 62 2 98 58 0.023786 0.311851 0.879188
mcs10_b09_s100_AB06 47 1 38 47 0.014658 0.173522 0.366137
mcs10_b09_s100_AB07 54 1 33 53 0.015747 0.169976 0.309275
mcs10_b09_s100_AB08 62 1 57 60 0.015416 0.159621 0.177703
mcs10_b09_s100_AB09 61 1 50 62 0.016843 0.154976 0.227552
mcs10_b09m_s100_AB00 54 1 31 56 0.009870 0.085482 0.112632
mcs10_b09m_s100_AB01 63 1 30 64 0.010200 0.092414 0.134258
mcs10_b09m_s100_AB02 52 0 20 51 0.007441 0.058987 0.076644
mcs10_b09m_s100_AB03 52 1 33 50 0.010146 0.104742 0.139400
mcs10_b09m_s100_AB04 46 0 18 45 0.009070 0.085724 0.147127
mcs10_b09m_s100_AB05 45 1 29 46 0.008331 0.073008 0.121071
mcs10_b09m_s100_AB06 63 1 31 67 0.010742 0.136411 0.207255
mcs10_b09m_s100_AB07 54 1 30 52 0.010413 0.097693 0.112733
mcs10_b09m_s100_AB08 55 1 36 54 0.010555 0.108069 0.137825
mcs10_b09m_s100_AB09 58 1 43 59 0.013226 0.143643 0.219593
mcs10_m2D_s100_AB00 59 0 22 60 0.008271 0.058420 0.067050
mcs10_m2D_s100_AB01 54 0 15 54 0.006975 0.059623 0.142887
mcs10_m2D_s100_AB02 51 0 16 57 0.006558 0.043236 0.047822
mcs10_m2D_s100_AB03 55 0 12 55 0.007168 0.056103 0.087852
mcs10_m2D_s100_AB04 60 0 20 61 0.009129 0.079364 0.119440
mcs10_m2D_s100_AB05 53 0 20 52 0.007083 0.054584 0.085549
mcs10_m2D_s100_AB06 56 0 10 56 0.007027 0.048810 0.066363
mcs10_m2D_s100_AB07 67 0 25 68 0.007802 0.060166 0.111472
mcs10_m2D_s100_AB08 52 0 12 53 0.006601 0.047049 0.065401
mcs10_m2D_s100_AB09 67 0 15 56 0.006599 0.036573 0.040228
mcs10_m2D_s40_AB00 17 0 1 22 0.002988 0.007780 0.009410
